Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
RCHGF000614	-	GT2(11-169)	GT2	GT2	N	3
RCHGF000615	-	GT4(207-346)	GT4_e2346	GT4	N	3
RCHGF000652	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(6-257)	GH1_e85	GH1	N	3
RCHGF000663	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(10-478)	GH1_e85	GH1	N	3
RCHGF000708	-	GT14(3-255)	GT14_e6	GT0	N	3
RCHGF000897	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(7-473)	GH1_e85	GH1	N	3
RCHGF000898	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(20-495)	GH1_e85	GH1	N	3
RCHGF000919	-	-	-	CBM50	N	1
RCHGF000949	-	-	-	GH13_31	N	1
RCHGF001038	-	GT5(3-475)	GT5_e18	GT5	N	3
RCHGF001040	-	-	-	CBM48+GH13_9	N	1
RCHGF001143	-	-	-	GH3	N	1
RCHGF001169	-	GT2(5-150)	GT2	GT2	N	3
RCHGF001179	-	GH25(105-175)	GH25_e67	GH25	N	3
RCHGF001209	3.2.1.-:2	GH13_20(34-324)	GH13_e141	GH13	N	3
RCHGF001295	-	-	-	GT30	N	1
RCHGF001312	-	GH4(4-181)	GH4_e21	GH4	N	3
RCHGF001315	-	CE9(7-369)	CE9_e16	CE9	N	3
RCHGF001328	-	CE4(240-369)	CE4_e134	CE4	N	3
RCHGF001330	-	CE4(241-356)	CE4_e134	CE4	N	3
RCHGF001343	-	-	-	CBM50	N	1
RCHGF001345	-	-	GH73_e65	GH73	N	2
RCHGF001374	2.4.1.211:13	GH112(6-720)	GH112_e0	GH112	N	3
RCHGF001462	-	-	-	GH23	N	1
RCHGF001518	3.2.1.86:10|3.2.1.85:2|3.2.1.21:1	GH1(3-456)	GH1_e13	GH1	N	3
RCHGF001521	-	GH38(3-254)	GH38_e15	GH38	N	3
RCHGF001649	-	GH73(287-401)	GH73_e65	GH73	N	3
RCHGF001672	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(3-471)	GH1_e85	GH1	N	3
RCHGF001710	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(2-486)	GH1_e85	GH1	N	3
RCHGF001712	3.2.1.21:5|3.2.1.-:1|3.2.1.23:1	GH1(2-391)	GH1_e87	GH1	N	3
RCHGF001816	-	CE4(235-362)	CE4_e81	CE4	N	3
RCHGF001826	-	GT4(164-312)	GT4_e360	GT4	N	3
RCHGF001828	-	GT4(207-353)	GT4_e192	GT4	N	3
RCHGF001848	-	GH25(6-181)	GH25_e36	GH25	N	3
RCHGF001881	-	CE4(231-365)	CE4_e95	-	N	2
RCHGF001897	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(2-470)	GH1_e85	GH1	N	3
RCHGF001943	-	-	-	GH13	N	1
RCHGF001947	-	-	-	GH28	N	1
RCHGF001998	-	-	-	GH13_11	N	1
RCHGF002072	-	-	GH23_e21	GH23	N	2
RCHGF002128	-	-	-	GH152	N	1
RCHGF002157	-	-	-	GH130	N	1
RCHGF002165	-	CE4(243-358)	CE4_e118	CE4	N	3
RCHGF002168	-	CE1(83-248)	-	-	N	1
RCHGF002238	-	CE9(6-365)	CE9_e9	CE9	N	3
RCHGF002241	-	GT51(50-221)	GT51_e8	GT51	N	3
RCHGF002255	-	-	-	GT58	N	1
RCHGF002346	-	GH109(1-135)	-	-	N	1
RCHGF002355	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(6-478)	GH1_e85	GH1	N	3
RCHGF002357	3.2.1.21:5|3.2.1.-:1|3.2.1.23:1	GH1(1-476)	GH1_e87	GH1	N	3
RCHGF002382	-	GH170(3-354)	GH170_e12	GH170	N	3
RCHGF002396	-	-	GH13_e133	GH13	N	2
RCHGF002436	3.2.1.122:13	GH4(6-183)	GH4_e4	GH4	N	3
RCHGF002437	-	-	-	GH4	N	1
RCHGF002445	-	-	-	GH84	N	1
RCHGF002464	-	GH43_24(22-267)	GH43_e29	GH43_24	N	3
RCHGF002576	-	GH1(11-480)	GH1_e24	GH1	N	3
RCHGF002597	-	GH1(3-423)	GH1_e68	GH1	N	3
RCHGF002694	2.4.1.211:13	GH112(6-717)	GH112_e0	GH112	N	3
RCHGF002812	-	GH109(1-149)	GH109_e7	-	N	2
RCHGF002899	-	CE4(91-224)	CE4_e313	-	N	2
RCHGF002970	-	-	-	CBM50+GH25	N	1
RCHGF002975	-	GH77(9-469)	GH77_e4	GH77	N	3
RCHGF002976	2.4.1.1:158	GT35(81-751)	GT35_e0	GT35	N	3
RCHGF003027	-	-	-	CBM50	N	1
RCHGF003035	-	-	-	GT2	N	1
RCHGF003066	-	CE9(4-375)	CE9_e11	CE9	N	3
RCHGF003148	-	-	-	GH1	N	1
RCHGF003191	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(3-466)	GH1_e85	GH1	N	3
RCHGF003212	-	-	-	CBM50	N	1
RCHGF003225	-	GH32(9-308)	GH32_e56	GH32	N	3
RCHGF003236	-	GH1(9-467)	GH1_e17	GH1	N	3
RCHGF003321	-	-	-	GH73	N	1
RCHGF003366	3.2.1.65:8|3.2.1.65:8|3.2.1.80:10|3.2.1.65:10|3.2.1.26:7|3.2.1.153:5|3.2.1.64:3|2.4.1.99:3|3.2.1.65:8	CBM66(238-392)+GH32(525-832)+CBM66(1095-1257)	CBM66_e0+CBM66_e0+GH32_e16+CBM66_e0	CBM66+GH32	N	3
RCHGF003370	-	GH170(3-359)	GH170_e24	GH170	N	3
RCHGF003375	-	-	-	GH1	N	1
RCHGF003435	-	-	-	GH23	N	1
RCHGF003472	-	GT51(45-213)	GT51_e159	GT51	N	3
RCHGF003491	-	CE1(14-249)	-	-	N	1
RCHGF003514	-	GH109(2-166)	GH109_e7	-	N	2
RCHGF003601	-	-	-	CBM32	N	1
RCHGF003620	-	GT28(189-344)	GT28_e1	GT28	N	3
RCHGF003665	-	-	-	GT4	N	1
RCHGF003741	-	-	-	GH5_11	N	1
RCHGF003806	-	CE6(54-145)	CE6_e1	CE0	N	3
RCHGF003850	-	-	-	GT1	N	1
RCHGF003872	3.2.1.86:16	GH4(7-187)	GH4_e24	GH4	N	3
RCHGF003882	-	-	-	CBM50	N	1
RCHGF003887	-	GH73(295-411)	GH73_e65	GH73	N	3
RCHGF003913	-	-	-	GH13_30	N	1
RCHGF003953	-	-	-	GT2	N	1
RCHGF004047	-	-	-	GH1	N	1
RCHGF004065	-	-	-	GT47	N	1
RCHGF004096	-	-	-	GT83	N	1
RCHGF004126	-	GH1(1-356)	GH1_e26	GH1	N	3
RCHGF004159	-	-	GH109_e7	-	N	1
RCHGF004191	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(2-466)	GH1_e85	GH1	N	3
RCHGF004241	-	-	-	GH38	N	1
