"id","ERGO.Function","GenBank.Function","strand","length.nt.","length.aa.","GRAVY","Molecular.Weight","Iso.electric.Point","gene.name","Kegg.Orthology","COG_Category_description","KEGG_Pathway_names","eggnog_COG_category","eggnog_seed_ortholog","eggnog_evalue","eggnog_score","eggnog_Description","eggnog_Preferred_name","eggnog_GOs","eggnog_EC","eggnog_KEGG_ko","eggnog_KEGG_Pathway","eggnog_KEGG_Module","eggnog_KEGG_Reaction","eggnog_KEGG_rclass","eggnog_BRITE","eggnog_KEGG_TC","eggnog_CAZy","eggnog_BiGG_Reaction","eggnog_PFAMs","TransAAP_Transporter_Family","TransAAP_Subfamily","TransAAP_Substrate_Function"
"CHGFRNA000085",,"tRNA-Gly","negative",74,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000086",,"tRNA-Lys","negative",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000087",,"tRNA-Gln","negative",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000088",,"tRNA-Tyr","negative",84,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000089",,"tRNA-Thr","negative",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000090",,"tRNA-Val","negative",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000092",,"tRNA-Ser","negative",89,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000094",,"tRNA-Ser","positive",91,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000095",,"tRNA-Gly","negative",74,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000096",,"tRNA-Asp","negative",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000097",,"tRNA-Asp","negative",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000100",,"tRNA-Leu","positive",87,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000101",,"tRNA-Gly","positive",74,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000103",,"tRNA-His","positive",76,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000104",,"tRNA-Arg","negative",77,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000106",,"tRNA-Glu","positive",75,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000108",,"tRNA-Arg","positive",77,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CHGFRNA000110",,"tRNA-Thr","negative",74,"NA",,,,"None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RCHGF000001",,"16S rRNA methyltransferase GidB (EC 2.1.-.-)","positive",708,236,"-0.18135593220339","26709.726","7.04656982421875","gidB","K03501 - gidB, rsmG - 16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170] [2.1.1.170]","(J) Translation","-","J","908340.HMPREF9406_0411","1.45E-170","476","Specifically methylates the N7 position of a guanine in 16S rRNA","rsmG","-","2.1.1.170","ko:K03501","-","-","-","-","ko00000,ko01000,ko03009,ko03036","-","-","-","GidB","NA","NA","NA"
"RCHGF000002","Chromosome partitioning protein parB","ParB-like protein","positive",762,254,"-0.434251968503938","28720.8398","5.76373291015625","noc","K03497 - parB, spo0J - ParB family transcriptional regulator, chromosome partitioning protein","(K) Transcription","-","K","908340.HMPREF9406_0412","9.6E-169","473","Belongs to the ParB family","noc","-","-","ko:K03497","-","-","-","-","ko00000,ko03000,ko03036,ko04812","-","-","-","ParBc","NA","NA","NA"
"RCHGF000003","Chromosome partitioning protein parA","sporulation initiation inhibitor protein Soj","positive",780,260,"-0.066538461538462","28718.0063","6.64031982421875","soj","K03496 - parA, soj - chromosome partitioning protein","(D) Cell cycle control and mitosis","-","D","908340.HMPREF9406_0413","2.67E-178","497","sporulation initiation inhibitor protein Soj","soj","-","-","ko:K03496","-","-","-","-","ko00000,ko03036,ko04812","-","-","-","AAA_31","NA","NA","NA"
"RCHGF000004",,"stage 0 sporulation protein J","positive",882,294,"-0.607823129251701","33547.2463","7.00543212890625","spo0J","K03497 - parB, spo0J - ParB family transcriptional regulator, chromosome partitioning protein","(K) Transcription","-","K","908340.HMPREF9406_0414","2.91E-199","553","Belongs to the ParB family","spo0J","-","-","ko:K03497","-","-","-","-","ko00000,ko03000,ko03036,ko04812","-","-","-","ParBc","NA","NA","NA"
"RCHGF000005",,"quinolinate synthetase complex, A subunit","positive",903,301,"-0.057475083056478","33236.241","5.77911376953125","nadA","K03517 - nadA - quinolinate synthase [EC:2.5.1.72] [2.5.1.72]","(H) Coenzyme metabolis","Nicotinate and nicotinamide metabolism; Metabolic pathways","H","908340.HMPREF9406_0415","2.86E-214","592","Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate","nadA","-","2.5.1.72","ko:K03517","ko00760,ko01100,map00760,map01100","M00115","R04292","RC01119","ko00000,ko00001,ko00002,ko01000","-","-","iHN637.CLJU_RS12020","NadA","NA","NA","NA"
"RCHGF000006","L-aspartate oxidase (EC 1.4.3.16)","FAD binding domain protein","positive",1215,405,"-0.37283950617284","45253.8906000001","6.02374267578125","None","K00278 - nadB - L-aspartate oxidase [EC:1.4.3.16] [1.4.3.16]","(H) Coenzyme metabolis","Alanine, aspartate and glutamate metabolism; Nicotinate and nicotinamide metabolism; Metabolic pathways","H","908340.HMPREF9406_0416","1.7E-304","828","L-aspartate oxidase","nadB","-","1.4.3.16","ko:K00278","ko00250,ko00760,ko01100,map00250,map00760,map01100","M00115","R00357,R00481","RC00006,RC02566","ko00000,ko00001,ko00002,ko01000","-","-","-","FAD_binding_2,Succ_DH_flav_C","NA","NA","NA"
"RCHGF000007","Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19)","nicotinate-nucleotide diphosphorylase (carboxylating) (EC 2.4.2.19)","positive",855,285,"-0.147368421052632","31340.6662","5.05120849609375","nadC","K00767 - nadC, QPRT - nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19] [2.4.2.19]","(H) Coenzyme metabolis","Nicotinate and nicotinamide metabolism; Metabolic pathways","H","908340.HMPREF9406_0417","6.7E-205","566","Belongs to the NadC ModD family","nadC","-","2.4.2.19","ko:K00767","ko00760,ko01100,map00760,map01100","M00115","R03348","RC02877","ko00000,ko00001,ko00002,ko01000","-","-","iHN637.CLJU_RS12010","QRPTase_C,QRPTase_N","NA","NA","NA"
"RCHGF000008","Transcriptional regulator, biotin repressor family","HTH domain protein","positive",561,187,"-0.32192513368984","21047.9324","7.07342529296875","None","K07105 - K07105 - uncharacterized protein","(S) Function Unknown","-","S","908340.HMPREF9406_0418","6.53E-127","361","3H domain","niaR","-","-","ko:K07105","-","-","-","-","ko00000","-","-","-","3H,HTH_11","NA","NA","NA"
"RCHGF000009","Hypothetical protein","hypothetical protein","negative",522,174,"-0.585057471264368","20621.5344","8.89556884765625","None",,"(S) Function Unknown","-","S","908340.HMPREF9406_0419","4.7E-134","378","Psort location Cytoplasmic, score","KatE","-","-","-","-","-","-","-","-","-","-","-","-","NA","NA","NA"
"RCHGF000010",,"acetyltransferase, GNAT family","negative",447,149,"-0.390604026845638","17716.0278","5.76544189453125","None",,"(K) Transcription","-","K","908340.HMPREF9406_0420","8.51E-109","312","Acetyltransferase (GNAT) family","-","-","-","-","-","-","-","-","-","-","-","-","Acetyltransf_1","NA","NA","NA"
"RCHGF000011","Transcriptional regulator, GntR family","UbiC transcription regulator-associated domain protein","positive",714,238,"-0.338235294117647","27633.4351","6.11676025390625","None","K03492 - ydhQ - GntR family transcriptional regulator","(K) Transcription","-","K","908340.HMPREF9406_0421","1.19E-170","476","UbiC transcription regulator-associated domain protein","gmuR","-","-","ko:K03492","-","-","-","-","ko00000,ko03000","-","-","-","GntR,UTRA","NA","NA","NA"
"RCHGF000012","6-phospho-beta-glucosidase (EC 3.2.1.86)","glycosyl hydrolase, family 1 (EC 3.2.1.86)","positive",1449,483,"-0.469979296066253","55629.0369","5.17999267578125","bglC","K01223 - E3.2.1.86B, bglA - 6-phospho-beta-glucosidase [EC:3.2.1.86] [3.2.1.86]","(G) Carbohydrate metabolism and transport","Glycolysis / Gluconeogenesis; Starch and sucrose metabolism","G","908340.HMPREF9406_0422","0","1034","Belongs to the glycosyl hydrolase 1 family","-","-","3.2.1.86","ko:K01223","ko00010,ko00500,map00010,map00500","-","R00839,R05133,R05134","RC00049,RC00171,RC00714","ko00000,ko00001,ko01000","-","GT1","-","Glyco_hydro_1","NA","NA","NA"
"RCHGF000013",,"hypothetical protein","positive",144,48,"-0.2875","5629.4246","5.71209716796875","None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RCHGF000014","2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14) / 4-Hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16)","KDPG and KHG aldolase","negative",639,213,"0.137089201877934","22681.9648","5.23321533203125","None","K01625 - eda - 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42] [4.1.2.14 4.1.3.42]","(G) Carbohydrate metabolism and transport","-","G","908340.HMPREF9406_0424","3.44E-153","430","Aldolase","-","-","-","-","-","-","-","-","-","-","-","-","Aldolase","NA","NA","NA"
"RCHGF000015","PTS system, mannose-specific IIB component (EC 2.7.1.69)","PTS system sorbose subfamily IIB component","positive",480,160,"-0.02875","17617.2824","6.60211181640625","None","K02794 - PTS-Man-EIIB, manX - PTS system, mannose-specific IIB component [EC:2.7.1.191] [2.7.1.191]","(G) Carbohydrate metabolism and transport","-","G","908340.HMPREF9406_0425","1.88E-106","307","PTS system sorbose subfamily","-","-","-","-","-","-","-","-","-","-","-","-","PTSIIB_sorb","SSPTS","EnzymeIIB","mannose/fructose"
"RCHGF000016","PTS system, mannose-specific IIC component (EC 2.7.1.69)","PTS system sorbose-specific iic component","positive",744,248,"0.840322580645162","26787.4175","6.22088623046875","None","K02795 - PTS-Man-EIIC, manY - PTS system, mannose-specific IIC component","(G) Carbohydrate metabolism and transport","-","G","908340.HMPREF9406_0426","6.05E-169","473","PTS system sorbose-specific iic component","-","-","-","-","-","-","-","-","-","-","-","-","EII-Sor","SSPTS","EnzymeIIC","mannose/fructose"
"RCHGF000017","PTS system, mannose-specific IID component (EC 2.7.1.69)","PTS system mannose/fructose/sorbose family IID component","positive",849,283,"0.479505300353357","31485.9334","6.96527099609375","None","K02796 - PTS-Man-EIID, manZ - PTS system, mannose-specific IID component","(G) Carbohydrate metabolism and transport","-","G","658659.HMPREF0983_03111","3.42E-197","547","PTS system mannose/fructose/sorbose family IID component","-","-","-","-","-","-","-","-","-","-","-","-","EIID-AGA","SSPTS","EnzymeIID","mannose/fructose"
"RCHGF000018",,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain protein","positive",387,129,"-0.309230769230769","14523.5682","6.95465087890625","None",,"(E) Amino Acid metabolis and transport; (H) Coenzyme metabolis","Glycine, serine and threonine metabolism; Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; NA; Carbon metabolism; Biosynthesis of amino acids","EH","908340.HMPREF9406_0428","2.29E-90","264","Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family","-","-","1.1.1.399,1.1.1.95","ko:K00058","ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230","M00020","R01513","RC00031","ko00000,ko00001,ko00002,ko01000,ko04147","-","-","-","2-Hacid_dh,2-Hacid_dh_C","NA","NA","NA"
"RCHGF000020",,"hypothetical protein","negative",519,173,"-0.23735632183908","19346.5861","5.03985595703125","None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RCHGF000021","Rubredoxin","rubredoxin","negative",156,52,"-0.378846153846154","5853.6316","4.14422607421875","None",,"(C) Energy production and conversion","-","C","908340.HMPREF9406_3838","6.15E-37","123","rubredoxin","rub","-","-","-","-","-","-","-","-","-","-","-","Rubredoxin","NA","NA","NA"
"RCHGF000022","Thioredoxin reductase (EC 1.8.1.9)","thioredoxin-disulfide reductase (EC 1.8.1.9)","negative",918,306,"-0.025163398692811","33000.3603","5.28778076171875","trxB","K00384 - trxB, TRR - thioredoxin reductase (NADPH) [EC:1.8.1.9] [1.8.1.9]","(C) Energy production and conversion","Selenocompound metabolism","C","908340.HMPREF9406_3839","1.6E-218","603","Thioredoxin reductase","trxB","-","1.8.1.9","ko:K00384","ko00450,map00450","-","R02016,R03596,R09372","RC00013,RC02518,RC02873","ko00000,ko00001,ko01000","-","-","-","Pyr_redox_2","NA","NA","NA"
"RCHGF000023",,"prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)","negative",1470,490,"0.10469387755102","56520.0592","5.93975830078125","lgt","K13292 - lgt, umpA - phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145] [2.5.1.145]","(M) Cell wall/membrane/envelop biogenesis","-","M","908340.HMPREF9406_3840","0","1001","Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins","lgt","-","-","ko:K13292","-","-","-","-","ko00000,ko01000","-","-","-","LGT","NA","NA","NA"
"RCHGF000024","HPR(SER) KINASE (EC 2.7.1.-) / PHOSPHATASE (EC 3.1.3.-)","HPr(Ser) kinase/phosphatase (EC 2.7.1.-)","negative",948,316,"-0.146518987341772","35729.0112","6.44781494140625","hprK","K06023 - hprK, ptsK - HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-] [2.7.4.- 2.7.11.-]","(F) Nucleotide metabolism and transport","-","F","908340.HMPREF9406_3841","2.78E-224","618","Catalyzes the ATP- as well as the pyrophosphate- dependent phosphorylation of a specific serine residue in HPr, a phosphocarrier protein of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). HprK P also catalyzes the pyrophosphate-producing, inorganic phosphate-dependent dephosphorylation (phosphorolysis) of seryl-phosphorylated HPr (P- Ser-HPr). The two antagonistic activities of HprK P are regulated by several intracellular metabolites, which change their concentration in response to the absence or presence of rapidly metabolisable carbon sources (glucose, fructose, etc.) in the growth medium. Therefore, by controlling the phosphorylation state of HPr, HPrK P is a sensor enzyme that plays a major role in the regulation of carbon metabolism and sugar transport it mediates carbon catabolite repression (CCR), and regulates PTS-catalyzed carbohydrate uptake and inducer exclusion","hprK","-","-","ko:K06023","-","-","-","-","ko00000,ko01000","-","-","-","Hpr_kinase_C,Hpr_kinase_N","NA","NA","NA"
"RCHGF000025","Excinuclease ABC subunit A","excinuclease ABC, A subunit (EC 3.1.25.-)","negative",2820,940,"-0.38691489361702","104970.900400001","8.39337158203125","uvrA","K03701 - uvrA - excinuclease ABC subunit A","(L) Replication and repair","Nucleotide excision repair","L","908340.HMPREF9406_3842","0","1862","The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate","uvrA","-","-","ko:K03701","ko03420,map03420","-","-","-","ko00000,ko00001,ko03400","-","-","-","ABC_tran","NA","NA","NA"
"RCHGF000026",,"hypothetical protein","positive",528,176,"-0.90625","18538.9101","7.23590087890625","None",,"NA","-","-","908340.HMPREF9406_3843","1.1E-76","233","-","-","-","-","-","-","-","-","-","-","-","-","-","-","NA","NA","NA"
"RCHGF000027","RNA polymerase ECF-type sigma factor","Sigma-70 region 2","positive",480,160,"-0.673125000000001","19124.4938","5.72064208984375","None","K03088 - rpoE - RNA polymerase sigma-70 factor, ECF subfamily","(K) Transcription","-","K","908340.HMPREF9406_3844","2.29E-116","332","Belongs to the sigma-70 factor family. ECF subfamily","-","-","-","ko:K03088","-","-","-","-","ko00000,ko03021","-","-","-","Sigma70_r2,Sigma70_r4_2","NA","NA","NA"
"RCHGF000028",,"hypothetical protein","positive",747,249,"-0.499598393574297","28496.9544","5.51800537109375","None",,"NA","-","-","908340.HMPREF9406_3845","9.02E-176","490","-","-","-","-","-","-","-","-","-","-","-","-","-","PepSY","NA","NA","NA"
"RCHGF000029","Fatty acid-binding protein, DegV family","EDD domain protein, DegV family","negative",852,284,"-0.063732394366197","31479.2105","5.94207763671875","None","K02775 - PTS-Gat-EIIC, gatC, sgcC - PTS system, galactitol-specific IIC component","(S) Function Unknown","-","S","908340.HMPREF9406_3846","1.15E-200","556","EDD domain protein, DegV family","-","-","-","-","-","-","-","-","-","-","-","-","DegV","NA","NA","NA"
"RCHGF000030","Fatty acid-binding protein, DegV family","EDD domain protein, DegV family","negative",852,284,"-0.011267605633803","30985.4124","5.35699462890625","None","K02775 - PTS-Gat-EIIC, gatC, sgcC - PTS system, galactitol-specific IIC component","(S) Function Unknown","-","S","908340.HMPREF9406_3847","2.71E-199","552","EDD domain protein, DegV family","-","-","-","-","-","-","-","-","-","-","-","-","DegV","NA","NA","NA"
"RCHGF000031","Pullulanase (EC 3.2.1.41)","pullulanase, type I (EC 3.2.1.41)","negative",2136,712,"-0.46629213483146","82735.6725000004","5.54949951171875","pulA","K01200 - pulA - pullulanase [EC:3.2.1.41] [3.2.1.41]","(G) Carbohydrate metabolism and transport","Starch and sucrose metabolism; Metabolic pathways; Biosynthesis of secondary metabolites","G","908340.HMPREF9406_3848","0","1466","Belongs to the glycosyl hydrolase 13 family","pulA","-","3.2.1.41","ko:K01200","ko00500,ko01100,ko01110,map00500,map01100,map01110","-","R02111","-","ko00000,ko00001,ko01000","-","CBM48,GH13","-","AMPK1_CBM,Alpha-amylase,Big_2,CBM_48,PUD","NA","NA","NA"
