id,Category,Locus,Gene Name,Aliases,Assigned Function,deseq2_log2_FC,Avg. Expression,lfc SE,wald stat,p-value,deseq2_q_value,ERGO.Function,GenBank.Function,strand,length.nt.,length.aa.,GRAVY,Molecular.Weight,Iso.electric.Point,gene.name,Kegg.Orthology,COG_Category_description,KEGG_Pathway_names,eggnog_COG_category,eggnog_seed_ortholog,eggnog_evalue,eggnog_score,eggnog_Description,eggnog_Preferred_name,eggnog_GOs,eggnog_EC,eggnog_KEGG_ko,eggnog_KEGG_Pathway,eggnog_KEGG_Module,eggnog_KEGG_Reaction,eggnog_KEGG_rclass,eggnog_BRITE,eggnog_KEGG_TC,eggnog_CAZy,eggnog_BiGG_Reaction,eggnog_PFAMs,TransAAP_Transporter_Family,TransAAP_Subfamily,TransAAP_Substrate_Function
CHGFRNA000074,Uncategorized;Uncategorized;Uncategorized;,AENW01000012,null,HMPREF9406_3408,NA,-1.26,5.34,0.436,-2.89,0.0038,0.0105,NA,tRNA-Val,positive,76,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000075,Uncategorized;Uncategorized;Uncategorized;,AENW01000012,null,HMPREF9406_3499,NA,-2.56,3.86,0.978,-2.61,0.00896,0.0221,NA,tRNA-Arg,positive,77,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000082,Uncategorized;Uncategorized;Uncategorized;,AENW01000009,null,HMPREF9406_1234,NA,-2.87,9.18,0.498,-5.76,8.2e-9,6.13e-8,NA,tRNA-Glu,negative,76,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000083,Uncategorized;Uncategorized;Uncategorized;,AENW01000009,null,HMPREF9406_1259,NA,-2.87,9.18,0.498,-5.76,8.2e-9,6.13e-8,NA,tRNA-Glu,positive,76,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000085,Uncategorized;Uncategorized;Uncategorized;,AENW01000009,null,HMPREF9406_1360,NA,-1.88,26.8,0.536,-3.51,4.53e-4,0.00158,NA,tRNA-Gly,negative,74,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000086,Uncategorized;Uncategorized;Uncategorized;,AENW01000009,null,HMPREF9406_1361,NA,1.95,3.58,0.546,3.57,3.64e-4,0.0013,NA,tRNA-Lys,negative,76,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000095,Uncategorized;Uncategorized;Uncategorized;,AENW01000007,null,HMPREF9406_0260,NA,-1.22,16.2,0.534,-2.28,0.0227,0.0485,NA,tRNA-Gly,negative,74,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000100,Uncategorized;Uncategorized;Uncategorized;,AENW01000005,null,HMPREF9406_2117,NA,-2.27,5.65,0.807,-2.81,0.00498,0.0132,NA,tRNA-Leu,positive,87,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000101,Uncategorized;Uncategorized;Uncategorized;,AENW01000005,null,HMPREF9406_2162,NA,-1.88,26.8,0.536,-3.51,4.53e-4,0.00158,NA,tRNA-Gly,positive,74,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000103,Uncategorized;Uncategorized;Uncategorized;,AENW01000004,null,HMPREF9406_0532,NA,-2.76,12,0.655,-4.22,2.44e-5,1.12e-4,NA,tRNA-His,positive,76,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000106,Uncategorized;Uncategorized;Uncategorized;,AENW01000003,null,HMPREF9406_1968,NA,-3.13,9.47,0.659,-4.75,2.03e-6,1.13e-5,NA,tRNA-Glu,positive,75,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHGFRNA000108,Uncategorized;Uncategorized;Uncategorized;,AENW01000002,null,HMPREF9406_2471,NA,-1.31,3.08,0.341,-3.84,1.21e-4,4.9e-4,NA,tRNA-Arg,positive,77,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCHGF000010,Uncategorized;,AENW01000060,null,"HMPREF9406_0420, EFR35533.1",NA,-1.18,28,0.382,-3.07,0.00211,0.00623,NA,"acetyltransferase, GNAT family",negative,447,149,-0.390604026845638,17716.0278,5.76544189453125,None,NA,(K) Transcription,-,K,908340.HMPREF9406_0420,8.509999999999999e-109,312,Acetyltransferase (GNAT) family,-,-,-,-,-,-,-,-,-,-,-,-,Acetyltransf_1,NA,NA,NA
RCHGF000014,metabolic process;cellular process;,AENW01000060,null,"HMPREF9406_0424, EFR35519.1",2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14) / 4-Hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16),-1.37,8.69,0.219,-6.24,4.32e-10,3.6e-9,2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14) / 4-Hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16),KDPG and KHG aldolase,negative,639,213,0.137089201877934,22681.9648,5.23321533203125,None,K01625 - eda - 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42] [4.1.2.14 4.1.3.42],(G) Carbohydrate metabolism and transport,-,G,908340.HMPREF9406_0424,3.4399999999999994e-153,430,Aldolase,-,-,-,-,-,-,-,-,-,-,-,-,Aldolase,NA,NA,NA
RCHGF000015,Uncategorized;,AENW01000060,null,"HMPREF9406_0425, EFR35522.1","PTS system, mannose-specific IIB component (EC 2.7.1.69)",-1.88,8.11,0.563,-3.33,8.64e-4,0.00283,"PTS system, mannose-specific IIB component (EC 2.7.1.69)",PTS system sorbose subfamily IIB component,positive,480,160,-0.02875,17617.2824,6.60211181640625,None,"K02794 - PTS-Man-EIIB, manX - PTS system, mannose-specific IIB component [EC:2.7.1.191] [2.7.1.191]",(G) Carbohydrate metabolism and transport,-,G,908340.HMPREF9406_0425,1.8799999999999997e-106,307,PTS system sorbose subfamily,-,-,-,-,-,-,-,-,-,-,-,-,PTSIIB_sorb,SSPTS,EnzymeIIB,mannose/fructose
RCHGF000016,Uncategorized;,AENW01000060,null,"HMPREF9406_0426, EFR35527.1","PTS system, mannose-specific IIC component (EC 2.7.1.69)",-1.36,10.2,0.354,-3.85,1.18e-4,4.81e-4,"PTS system, mannose-specific IIC component (EC 2.7.1.69)",PTS system sorbose-specific iic component,positive,744,248,0.840322580645162,26787.4175,6.22088623046875,None,"K02795 - PTS-Man-EIIC, manY - PTS system, mannose-specific IIC component",(G) Carbohydrate metabolism and transport,-,G,908340.HMPREF9406_0426,6.049999999999999e-169,473,PTS system sorbose-specific iic component,-,-,-,-,-,-,-,-,-,-,-,-,EII-Sor,SSPTS,EnzymeIIC,mannose/fructose
RCHGF000017,Uncategorized;,AENW01000060,null,"HMPREF9406_0427, EFR35531.1","PTS system, mannose-specific IID component (EC 2.7.1.69)",-1.26,38.5,0.29,-4.34,1.44e-5,6.96e-5,"PTS system, mannose-specific IID component (EC 2.7.1.69)",PTS system mannose/fructose/sorbose family IID component,positive,849,283,0.479505300353357,31485.9334,6.96527099609375,None,"K02796 - PTS-Man-EIID, manZ - PTS system, mannose-specific IID component",(G) Carbohydrate metabolism and transport,-,G,658659.HMPREF0983_03111,3.4199999999999994e-197,547,PTS system mannose/fructose/sorbose family IID component,-,-,-,-,-,-,-,-,-,-,-,-,EIID-AGA,SSPTS,EnzymeIID,mannose/fructose
RCHGF000020,Uncategorized;,AENW01000059,null,"HMPREF9406_3837, EFR35600.1",NA,-1.17,14.5,0.21,-5.57,2.58e-8,1.81e-7,NA,hypothetical protein,negative,519,173,-0.23735632183908,19346.5861,5.03985595703125,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCHGF000022,metabolic process;cellular process;detoxification;,AENW01000059,trxB,"trxB, HMPREF9406_3839, EFR35556.1",Thioredoxin reductase (EC 1.8.1.9),1.9,491,0.144,13.2,1.18e-39,2.95e-38,Thioredoxin reductase (EC 1.8.1.9),thioredoxin-disulfide reductase (EC 1.8.1.9),negative,918,306,-0.025163398692811,33000.3603,5.28778076171875,trxB,"K00384 - trxB, TRR - thioredoxin reductase (NADPH) [EC:1.8.1.9] [1.8.1.9]",(C) Energy production and conversion,Selenocompound metabolism,C,908340.HMPREF9406_3839,1.5999999999999998e-218,603,Thioredoxin reductase,trxB,-,1.8.1.9,ko:K00384,"ko00450,map00450",-,"R02016,R03596,R09372","RC00013,RC02518,RC02873","ko00000,ko00001,ko01000",-,-,-,Pyr_redox_2,NA,NA,NA
RCHGF000034,metabolic process;cellular process;,AENW01000059,glgP,"glgP, HMPREF9406_3851, EFR35614.1",Glycogen phosphorylase (EC 2.4.1.1),2.01,1620,0.118,17,7.41e-65,3.21e-63,Glycogen phosphorylase (EC 2.4.1.1),"phosphorylase, glycogen/starch/alpha-glucan family (EC 2.4.1.1)",negative,2412,804,-0.394527363184079,92772.5458000005,5.45977783203125,glgP,"K00688 - PYG, glgP - glycogen phosphorylase [EC:2.4.1.1] [2.4.1.1]",(G) Carbohydrate metabolism and transport,Starch and sucrose metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biofilm formation - Escherichia coli; Necroptosis; Insulin signaling pathway; Glucagon signaling pathway; Insulin resistance,G,908340.HMPREF9406_3851,0,1622,"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties",glgP,-,2.4.1.1,ko:K00688,"ko00500,ko01100,ko01110,ko02026,ko04217,ko04910,ko04922,ko04931,map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931",-,R02111,-,"ko00000,ko00001,ko01000",-,GT35,-,Phosphorylase,NA,NA,NA
RCHGF000041,metabolic process;cellular process;,AENW01000059,null,"HMPREF9406_3858, EFR35599.1",CDP-ribitol ribitolphosphotransferase (EC 2.7.8.14),-1.65,178,0.18,-9.2,3.75e-20,5.31e-19,CDP-ribitol ribitolphosphotransferase (EC 2.7.8.14),CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase,negative,1098,366,-0.132513661202186,42583.0730000001,8.52606201171875,None,K18704 - tarL - CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47] [2.7.8.14 2.7.8.47],(M) Cell wall/membrane/envelop biogenesis,-,M,908340.HMPREF9406_3858,4.5899999999999994e-271,741,CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase,-,-,"2.7.8.14,2.7.8.47",ko:K18704,-,-,"R11614,R11621",-,"ko00000,ko01000",-,-,-,Glyphos_transf,NA,NA,NA
RCHGF000042,Uncategorized;,AENW01000059,null,"HMPREF9406_3859, EFR35629.1",NA,-1.52,443,0.128,-11.9,1.3199999999999998e-32,2.8699999999999997e-31,NA,"glycosyltransferase, group 2 family protein (EC 2.4.-.-)",negative,2586,862,-0.404988399071925,101296.704400001,8.98748779296875,None,K09809 - tagF - CDP-glycerol glycerophosphotransferase [EC:2.7.8.12] [2.7.8.12],(M) Cell wall/membrane/envelop biogenesis,-,M,908340.HMPREF9406_3859,0,1729,Glycosyltransferase like family 2,-,-,-,-,-,-,-,-,-,-,-,-,Glycos_transf_2,NA,NA,NA
RCHGF000043,Uncategorized;,AENW01000059,null,"HMPREF9406_3860, EFR35605.1",NA,-1.84,2710,0.234,-7.84,4.42e-15,5.02e-14,NA,"glycosyltransferase, group 2 family protein (EC 2.4.-.-)",negative,3450,1150,-0.487652173913042,134314.155,7.91827392578125,None,K09809 - tagF - CDP-glycerol glycerophosphotransferase [EC:2.7.8.12] [2.7.8.12],(M) Cell wall/membrane/envelop biogenesis,-,M,908340.HMPREF9406_3860,0,2316,CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase,-,-,-,-,-,-,-,-,-,-,-,-,"Glycos_transf_2,Glyphos_transf",NA,NA,NA
RCHGF000044,metabolic process;cellular process;,AENW01000059,tagD,"tagD, HMPREF9406_3861, EFR35570.1",Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39),-2.4,87.1,0.31,-7.73,1.07e-14,1.19e-13,Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39),glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39),negative,390,130,-0.300769230769231,15245.4972,5.45635986328125,tagD,K00980 - tagD - glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39] [2.7.7.39],(I) Lipid metabolism; (M) Cell wall/membrane/envelop biogenesis,Glycerophospholipid metabolism,IM,908340.HMPREF9406_3861,1.3799999999999999e-89,262,Glycerol-3-phosphate cytidylyltransferase,tagD,-,2.7.7.39,ko:K00980,"ko00564,map00564",-,R00856,RC00002,"ko00000,ko00001,ko01000",-,-,-,"CTP_transf_like,GFO_IDH_MocA",NA,NA,NA
RCHGF000045,Uncategorized;,AENW01000059,null,"HMPREF9406_3862, EFR35542.1",Teichoic acid translocation ATP-binding protein tagH,-2.53,525,0.214,-11.8,3.0299999999999996e-32,6.47e-31,Teichoic acid translocation ATP-binding protein tagH,"ABC transporter, ATP-binding protein",negative,834,278,-0.256834532374101,30884.3718,8.21893310546875,None,K09693 - tagH - teichoic acid transport system ATP-binding protein [EC:7.5.2.4] [7.5.2.4],(G) Carbohydrate metabolism and transport; (M) Cell wall/membrane/envelop biogenesis,ABC transporters,GM,908340.HMPREF9406_3862,7.140000000000001e-192,533,ATPases associated with a variety of cellular activities,tagH,-,3.6.3.40,"ko:K01990,ko:K09691,ko:K09693","ko02010,map02010","M00250,M00251,M00254",-,-,"ko00000,ko00001,ko00002,ko01000,ko02000","3.A.1,3.A.1.103,3.A.1.104",-,-,"ABC_tran,Wzt_C",ABC,binding,daunorubicin
RCHGF000046,cellular process;localization;,AENW01000059,null,"HMPREF9406_3863, EFR35622.1",Teichoic acid translocation permease protein tagG,-1.89,74.8,0.229,-8.24,1.67e-16,2.02e-15,Teichoic acid translocation permease protein tagG,ABC-2 type transporter,negative,816,272,0.601838235294117,32031.9274,9.16802978515625,None,K09692 - tagG - teichoic acid transport system permease protein,(G) Carbohydrate metabolism and transport; (M) Cell wall/membrane/envelop biogenesis,ABC transporters,GM,908340.HMPREF9406_3863,8.17e-204,563,Transport permease protein,-,-,-,ko:K09692,"ko02010,map02010",M00251,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.104,-,-,ABC2_membrane,ABC,membrane,polysaccharide export
RCHGF000052,Uncategorized;,AENW01000059,null,"HMPREF9406_3869, EFR35597.1",NA,-1.47,8.56,0.623,-2.35,0.0187,0.0412,NA,hypothetical protein,negative,126,42,-0.021428571428572,4877.6484,6.69097900390625,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCHGF000053,Uncategorized;,AENW01000059,null,"HMPREF9406_3870, EFR35601.1",NA,-1.18,1.39,0.466,-2.53,0.0115,0.0275,NA,hypothetical protein,negative,165,55,-0.269090909090909,6663.637,7.87908935546875,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCHGF000070,Uncategorized;,AENW01000059,null,"HMPREF9406_3887, EFR35574.1",Hypothetical membrane spanning protein,-1.67,280,0.152,-11,4.5e-28,8.240000000000001e-27,Hypothetical membrane spanning protein,hypothetical protein,negative,873,291,0.673883161512027,31276.6846,5.72271728515625,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_3887,3.1399999999999996e-197,548,"Uncharacterised 5xTM membrane BCR, YitT family COG1284",-,-,-,-,-,-,-,-,-,-,-,-,"DUF2179,YitT_membrane",NA,NA,NA
RCHGF000075,Uncategorized;,AENW01000059,null,"HMPREF9406_3892, EFR35573.1",NA,1.37,18.9,0.433,3.15,0.00161,0.00491,NA,hypothetical protein,negative,207,69,-0.768115942028986,7798.1852,9.98480224609375,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_3892,9.31e-44,142,"Psort location Cytoplasmic, score",-,-,-,-,-,-,-,-,-,-,-,-,Cys_rich_VLP,NA,NA,NA
RCHGF000078,Uncategorized;,AENW01000059,null,"HMPREF9406_3895, EFR35551.1",NICKASE,1.39,115,0.249,5.58,2.36e-8,1.66e-7,NICKASE,MobA/MobL family protein,negative,1566,522,-0.887739463601531,59787.1903000001,9.55963134765625,None,NA,(D) Cell cycle control and mitosis,-,D,908340.HMPREF9406_3895,0,1042,MobA MobL family protein,-,-,-,-,-,-,-,-,-,-,-,-,MobA_MobL,NA,NA,NA
RCHGF000081,Uncategorized;,AENW01000059,null,"HMPREF9406_3898, EFR35627.1",NA,1.05,8.71,0.332,3.17,0.00152,0.00465,NA,hypothetical protein,negative,450,150,-0.704666666666667,18056.331,8.50701904296875,None,"K03088 - rpoE - RNA polymerase sigma-70 factor, ECF subfamily",(K) Transcription,-,K,908340.HMPREF9406_3898,8.829999999999999e-107,307,"DNA-templated transcription, initiation",-,-,-,ko:K03088,-,-,-,-,"ko00000,ko03021",-,-,-,-,NA,NA,NA
RCHGF000082,Uncategorized;,AENW01000059,null,"HMPREF9406_3899, EFR35624.1",NA,1.54,17.7,0.297,5.18,2.28e-7,1.45e-6,NA,"sigma-70, region 4",negative,411,137,-0.274452554744526,15949.8311,4.79913330078125,None,"K03088 - rpoE - RNA polymerase sigma-70 factor, ECF subfamily",(K) Transcription,-,K,552396.HMPREF0863_00460,1.3e-95,278,"DNA-templated transcription, initiation",-,-,-,ko:K03088,-,-,-,-,"ko00000,ko03021",-,-,-,"Sigma70_r4_2,UPF0122",NA,NA,NA
RCHGF000089,Uncategorized;,AENW01000059,null,"HMPREF9406_3906, EFR35553.1",NA,-1.2,55.6,0.131,-9.15,5.83e-20,8.17e-19,NA,"transcriptional regulator, TetR family",negative,615,205,-0.297073170731707,23462.2368,5.24212646484375,None,NA,(K) Transcription,-,K,908340.HMPREF9406_3906,3.88e-146,411,"Bacterial regulatory proteins, tetR family",-,-,-,-,-,-,-,-,-,-,-,-,TetR_N,NA,NA,NA
RCHGF000106,Uncategorized;,AENW01000059,null,"HMPREF9406_3923, EFR35588.1",NA,7.7,2130,0.331,23.3,8.07e-120,6.3499999999999995e-118,NA,hypothetical protein,negative,753,251,0.053784860557769,25114.9487,4.32281494140625,None,NA,(M) Cell wall/membrane/envelop biogenesis,-,M,908340.HMPREF9406_3923,1.04e-120,351,PFAM Collagen triple helix repeat (20 copies),-,-,-,-,-,-,-,-,-,-,-,-,Collagen,NA,NA,NA
RCHGF000107,metabolic process;cellular process;biological regulation;,AENW01000059,cspB_1,"cspB_1, HMPREF9406_3924, EFR35549.1",Cold shock protein,1.45,1040,0.34,4.25,2.11e-5,9.94e-5,Cold shock protein,cold-shock DNA-binding domain protein,negative,195,65,-0.383076923076923,7490.4401,4.94342041015625,cspB_1,K03704 - cspA - cold shock protein,(K) Transcription,-,K,908340.HMPREF9406_3924,1.13e-40,134,'Cold-shock' DNA-binding domain,-,-,-,-,-,-,-,-,-,-,-,-,CSD,NA,NA,NA
RCHGF000108,metabolic process;cellular process;biological regulation;,AENW01000059,cspB_2,"cspB_2, HMPREF9406_3925, EFR35572.1",Cold shock protein,4.8,79.2,0.47,10.2,1.5399999999999999e-24,2.4699999999999997e-23,Cold shock protein,cold-shock DNA-binding domain protein,negative,195,65,-0.92,7398.0651,5.23236083984375,cspB_2,K03704 - cspA - cold shock protein,(K) Transcription,-,K,908340.HMPREF9406_3925,1.66e-42,138,Cold shock protein,cspB,-,-,ko:K03704,-,-,-,-,"ko00000,ko03000",-,-,-,CSD,NA,NA,NA
RCHGF000109,Uncategorized;,AENW01000059,null,"HMPREF9406_3926, EFR35592.1",COMF operon protein 3,1.03,12.8,0.441,2.33,0.0196,0.043,COMF operon protein 3,comF family protein,negative,666,222,-0.240990990990991,26092.3682,8.77886962890625,None,NA,(K) Transcription,-,K,908340.HMPREF9406_3926,2.4199999999999995e-162,454,competence protein,comF,-,-,ko:K02242,-,M00429,-,-,"ko00000,ko00002,ko02044",-,-,-,"PRTase_3,Pribosyltran",NA,NA,NA
RCHGF000126,metabolic process;cellular process;response to stimulus;,AENW01000058,null,"HMPREF9406_1416, EFR35750.1",Translation initiation inhibitor,2.82,5.26,0.362,7.8,5.96e-15,6.7e-14,Translation initiation inhibitor,putative endoribonuclease L-PSP,positive,375,125,0.0608,13605.4293,4.59185791015625,None,"K09022 - ridA, tdcF, RIDA - 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10] [3.5.99.10]",(J) Translation,-,J,908340.HMPREF9406_1416,2.95e-84,248,endoribonuclease L-PSP,-,-,3.5.99.10,ko:K09022,-,-,"R11098,R11099","RC03275,RC03354","ko00000,ko01000",-,-,-,Ribonuc_L-PSP,NA,NA,NA
RCHGF000127,Uncategorized;,AENW01000058,null,"HMPREF9406_1417, EFR35650.1",NA,2.97,85.5,0.21,14.1,2.21e-45,6.53e-44,NA,"PTS system, Lactose/Cellobiose specific IIB subunit",positive,1632,544,0.551102941176471,60485.5885000001,6.77728271484375,None,NA,(G) Carbohydrate metabolism and transport,Starch and sucrose metabolism; Phosphotransferase system (PTS),G,908340.HMPREF9406_1417,0,1030,"The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active - transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane",-,-,-,ko:K02761,"ko00500,ko02060,map00500,map02060",M00275,"R11170,R11172","RC00017,RC03206","ko00000,ko00001,ko00002,ko02000",4.A.3.2,-,-,PTS_EIIC,SSPTS,EnzymeIIBC,cellobiose
