id,Category,Locus,Gene Name,Aliases,Assigned Function,deseq2_log2_FC,Avg. Expression,lfc SE,wald stat,p-value,deseq2_q_value,ERGO.Function,GenBank.Function,strand,length.nt.,length.aa.,GRAVY,Molecular.Weight,Iso.electric.Point,gene.name,Kegg.Orthology,COG_Category_description,KEGG_Pathway_names,eggnog_COG_category,eggnog_seed_ortholog,eggnog_evalue,eggnog_score,eggnog_Description,eggnog_Preferred_name,eggnog_GOs,eggnog_EC,eggnog_KEGG_ko,eggnog_KEGG_Pathway,eggnog_KEGG_Module,eggnog_KEGG_Reaction,eggnog_KEGG_rclass,eggnog_BRITE,eggnog_KEGG_TC,eggnog_CAZy,eggnog_BiGG_Reaction,eggnog_PFAMs,TransAAP_Transporter_Family,TransAAP_Subfamily,TransAAP_Substrate_Function
RCHGF000040,Uncategorized;,AENW01000059,null,"HMPREF9406_3857, EFR35607.1",Integral membrane protein,-2.12,914,0.376,-5.64,1.7e-8,4.02e-7,Integral membrane protein,hypothetical protein,negative,2544,848,0.083372641509434,97291.2641000005,9.34722900390625,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_3857,0,1634,"Psort location CytoplasmicMembrane, score",-,-,-,-,-,-,-,-,-,-,-,-,YfhO,NA,NA,NA
RCHGF000041,metabolic process;cellular process;,AENW01000059,null,"HMPREF9406_3858, EFR35599.1",CDP-ribitol ribitolphosphotransferase (EC 2.7.8.14),-2.99,178,0.62,-4.82,1.42e-6,1.8e-5,CDP-ribitol ribitolphosphotransferase (EC 2.7.8.14),CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase,negative,1098,366,-0.132513661202186,42583.0730000001,8.52606201171875,None,K18704 - tarL - CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47] [2.7.8.14 2.7.8.47],(M) Cell wall/membrane/envelop biogenesis,-,M,908340.HMPREF9406_3858,4.5899999999999994e-271,741,CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase,-,-,"2.7.8.14,2.7.8.47",ko:K18704,-,-,"R11614,R11621",-,"ko00000,ko01000",-,-,-,Glyphos_transf,NA,NA,NA
RCHGF000042,Uncategorized;,AENW01000059,null,"HMPREF9406_3859, EFR35629.1",NA,-3.17,443,0.425,-7.45,9.16e-14,6.3e-12,NA,"glycosyltransferase, group 2 family protein (EC 2.4.-.-)",negative,2586,862,-0.404988399071925,101296.704400001,8.98748779296875,None,K09809 - tagF - CDP-glycerol glycerophosphotransferase [EC:2.7.8.12] [2.7.8.12],(M) Cell wall/membrane/envelop biogenesis,-,M,908340.HMPREF9406_3859,0,1729,Glycosyltransferase like family 2,-,-,-,-,-,-,-,-,-,-,-,-,Glycos_transf_2,NA,NA,NA
RCHGF000043,Uncategorized;,AENW01000059,null,"HMPREF9406_3860, EFR35605.1",NA,-3.29,2710,0.31,-10.6,2.62e-26,1.47e-23,NA,"glycosyltransferase, group 2 family protein (EC 2.4.-.-)",negative,3450,1150,-0.487652173913042,134314.155,7.91827392578125,None,K09809 - tagF - CDP-glycerol glycerophosphotransferase [EC:2.7.8.12] [2.7.8.12],(M) Cell wall/membrane/envelop biogenesis,-,M,908340.HMPREF9406_3860,0,2316,CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase,-,-,-,-,-,-,-,-,-,-,-,-,"Glycos_transf_2,Glyphos_transf",NA,NA,NA
RCHGF000044,metabolic process;cellular process;,AENW01000059,tagD,"tagD, HMPREF9406_3861, EFR35570.1",Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39),-3.1,87.1,0.904,-3.43,6.03e-4,0.00354,Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39),glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39),negative,390,130,-0.300769230769231,15245.4972,5.45635986328125,tagD,K00980 - tagD - glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39] [2.7.7.39],(I) Lipid metabolism; (M) Cell wall/membrane/envelop biogenesis,Glycerophospholipid metabolism,IM,908340.HMPREF9406_3861,1.3799999999999999e-89,262,Glycerol-3-phosphate cytidylyltransferase,tagD,-,2.7.7.39,ko:K00980,"ko00564,map00564",-,R00856,RC00002,"ko00000,ko00001,ko01000",-,-,-,"CTP_transf_like,GFO_IDH_MocA",NA,NA,NA
RCHGF000045,Uncategorized;,AENW01000059,null,"HMPREF9406_3862, EFR35542.1",Teichoic acid translocation ATP-binding protein tagH,-5.08,525,0.688,-7.38,1.61e-13,1.07e-11,Teichoic acid translocation ATP-binding protein tagH,"ABC transporter, ATP-binding protein",negative,834,278,-0.256834532374101,30884.3718,8.21893310546875,None,K09693 - tagH - teichoic acid transport system ATP-binding protein [EC:7.5.2.4] [7.5.2.4],(G) Carbohydrate metabolism and transport; (M) Cell wall/membrane/envelop biogenesis,ABC transporters,GM,908340.HMPREF9406_3862,7.140000000000001e-192,533,ATPases associated with a variety of cellular activities,tagH,-,3.6.3.40,"ko:K01990,ko:K09691,ko:K09693","ko02010,map02010","M00250,M00251,M00254",-,-,"ko00000,ko00001,ko00002,ko01000,ko02000","3.A.1,3.A.1.103,3.A.1.104",-,-,"ABC_tran,Wzt_C",ABC,binding,daunorubicin
RCHGF000046,cellular process;localization;,AENW01000059,null,"HMPREF9406_3863, EFR35622.1",Teichoic acid translocation permease protein tagG,-4.39,74.8,1.43,-3.07,0.00213,0.0101,Teichoic acid translocation permease protein tagG,ABC-2 type transporter,negative,816,272,0.601838235294117,32031.9274,9.16802978515625,None,K09692 - tagG - teichoic acid transport system permease protein,(G) Carbohydrate metabolism and transport; (M) Cell wall/membrane/envelop biogenesis,ABC transporters,GM,908340.HMPREF9406_3863,8.17e-204,563,Transport permease protein,-,-,-,ko:K09692,"ko02010,map02010",M00251,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.104,-,-,ABC2_membrane,ABC,membrane,polysaccharide export
RCHGF000047,Uncategorized;,AENW01000059,null,"HMPREF9406_3864, EFR35539.1",NA,1.25,5730,0.259,4.85,1.26e-6,1.62e-5,NA,fibronectin type III domain protein,negative,1971,657,-0.626940639269406,74549.7469000003,8.86700439453125,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_3864,0,1335,Metallo-beta-lactamase superfamily,-,-,-,-,-,-,-,-,-,-,-,-,"Lactamase_B,fn3",NA,NA,NA
RCHGF000048,Uncategorized;,AENW01000059,null,"HMPREF9406_3865, EFR35615.1",NA,1.78,11400,0.412,4.32,1.55e-5,1.45e-4,NA,"Gram-positive signal peptide protein, YSIRK family",negative,813,271,-0.534317343173432,31859.6015,9.56341552734375,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_3865,1.7099999999999997e-200,554,GlcNAc-PI de-N-acetylase,-,-,-,-,-,-,-,-,-,-,-,-,PIG-L,NA,NA,NA
RCHGF000052,Uncategorized;,AENW01000059,null,"HMPREF9406_3869, EFR35597.1",NA,4.37,8.56,0.872,5.02,5.3e-7,7.87e-6,NA,hypothetical protein,negative,126,42,-0.021428571428572,4877.6484,6.69097900390625,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCHGF000054,Uncategorized;,AENW01000059,null,"HMPREF9406_3871, EFR35569.1",NA,-1.8,428,0.614,-2.93,0.0034,0.0151,NA,hypothetical protein,negative,135,45,0.313333333333333,4720.4206,4.19635009765625,None,NA,(G) Carbohydrate metabolism and transport,-,G,658659.HMPREF0983_03326,9.179999999999999e-23,88.6,phosphocarrier protein HPr,ptsH,-,-,ko:K11189,-,-,-,-,"ko00000,ko02000",4.A.2.1,-,-,PTS-HPr,NA,NA,NA
RCHGF000061,response to stimulus;,AENW01000059,null,"HMPREF9406_3878, EFR35580.1",Hypothetical cytosolic protein,2.32,38.7,0.491,4.73,2.28e-6,2.72e-5,Hypothetical cytosolic protein,hypothetical protein,negative,744,248,-0.335080645161291,28669.9254,8.17083740234375,None,K09861 - K09861 - uncharacterized protein,(S) Function Unknown,-,S,908340.HMPREF9406_3878,2.2299999999999997e-180,501,Belongs to the UPF0246 family,-,-,-,ko:K09861,-,-,-,-,ko00000,-,-,-,H2O2_YaaD,NA,NA,NA
RCHGF000069,metabolic process;cellular process;,AENW01000059,ftsE,"ftsE, HMPREF9406_3886, EFR35583.1",Cell division ATP-binding protein ftsE,-2.03,102,0.757,-2.68,0.00725,0.0279,Cell division ATP-binding protein ftsE,cell division ATP-binding protein FtsE,negative,687,229,-0.116593886462882,25622.2837,6.32635498046875,ftsE,K09812 - ftsE - cell division transport system ATP-binding protein,(D) Cell cycle control and mitosis,ABC transporters,D,908340.HMPREF9406_3886,9.759999999999999e-161,450,cell division ATP-binding protein FtsE,ftsE,-,-,ko:K09812,"ko02010,map02010",M00256,-,-,"ko00000,ko00001,ko00002,ko02000,ko03036",3.A.1.140,-,-,ABC_tran,ABC,binding,phosphonate
RCHGF000070,Uncategorized;,AENW01000059,null,"HMPREF9406_3887, EFR35574.1",Hypothetical membrane spanning protein,-1.13,280,0.325,-3.47,5.14e-4,0.00306,Hypothetical membrane spanning protein,hypothetical protein,negative,873,291,0.673883161512027,31276.6846,5.72271728515625,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_3887,3.1399999999999996e-197,548,"Uncharacterised 5xTM membrane BCR, YitT family COG1284",-,-,-,-,-,-,-,-,-,-,-,-,"DUF2179,YitT_membrane",NA,NA,NA
RCHGF000073,Uncategorized;,AENW01000059,null,"HMPREF9406_3890, EFR35567.1",NA,2.29,17.8,0.691,3.32,9.14e-4,0.005,NA,IstB-like ATP-binding protein,negative,861,287,-0.491289198606272,32805.0928,6.25799560546875,None,K02315 - dnaC - DNA replication protein DnaC,(L) Replication and repair,-,L,908340.HMPREF9406_3890,2.3399999999999997e-206,570,DNA replication protein,-,-,-,ko:K02315,-,-,-,-,"ko00000,ko03032",-,-,-,IstB_IS21,NA,NA,NA
RCHGF000074,Uncategorized;,AENW01000059,null,"HMPREF9406_3891, EFR35587.1",Phage protein,3.34,45,0.66,5.06,4.26e-7,6.57e-6,Phage protein,phage replisome organizer N-terminal domain protein,negative,732,244,-0.589754098360656,27988.3721,6.04437255859375,None,NA,(L) Replication and repair,-,L,908340.HMPREF9406_3891,5.809999999999999e-165,462,Phage replisome organizer,-,-,-,-,-,-,-,-,-,-,-,-,"DnaB_2,Phage_rep_org_N",NA,NA,NA
RCHGF000075,Uncategorized;,AENW01000059,null,"HMPREF9406_3892, EFR35573.1",NA,4.77,18.9,0.712,6.69,2.21e-11,1.03e-9,NA,hypothetical protein,negative,207,69,-0.768115942028986,7798.1852,9.98480224609375,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_3892,9.31e-44,142,"Psort location Cytoplasmic, score",-,-,-,-,-,-,-,-,-,-,-,-,Cys_rich_VLP,NA,NA,NA
RCHGF000078,Uncategorized;,AENW01000059,null,"HMPREF9406_3895, EFR35551.1",NICKASE,3.2,115,0.378,8.47,2.48e-17,3.03e-15,NICKASE,MobA/MobL family protein,negative,1566,522,-0.887739463601531,59787.1903000001,9.55963134765625,None,NA,(D) Cell cycle control and mitosis,-,D,908340.HMPREF9406_3895,0,1042,MobA MobL family protein,-,-,-,-,-,-,-,-,-,-,-,-,MobA_MobL,NA,NA,NA
RCHGF000079,Uncategorized;,AENW01000059,null,"HMPREF9406_3896, EFR35635.1",Hypothetical Protein,3.81,12.9,0.733,5.2,2.05e-7,3.5e-6,Hypothetical Protein,hypothetical protein,negative,288,96,-0.736458333333334,10904.4445,9.44927978515625,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_3896,7.1e-58,179,Protein of unknown function (DUF3847),-,-,-,-,-,-,-,-,-,-,-,-,DUF3847,NA,NA,NA
RCHGF000080,Uncategorized;,AENW01000059,null,"HMPREF9406_3897, EFR35558.1",NA,3.01,12,0.718,4.2,2.71e-5,2.37e-4,NA,"sigma-70, region 4",negative,459,153,-0.437908496732026,17945.4924,7.72735595703125,None,"K03088 - rpoE - RNA polymerase sigma-70 factor, ECF subfamily",(K) Transcription,-,K,908340.HMPREF9406_3897,4.519999999999999e-106,306,"Sigma-70, region 4",-,-,-,ko:K03088,-,-,-,-,"ko00000,ko03021",-,-,-,Sigma70_r4_2,NA,NA,NA
RCHGF000082,Uncategorized;,AENW01000059,null,"HMPREF9406_3899, EFR35624.1",NA,2.44,17.7,0.722,3.38,7.32e-4,0.00415,NA,"sigma-70, region 4",negative,411,137,-0.274452554744526,15949.8311,4.79913330078125,None,"K03088 - rpoE - RNA polymerase sigma-70 factor, ECF subfamily",(K) Transcription,-,K,552396.HMPREF0863_00460,1.3e-95,278,"DNA-templated transcription, initiation",-,-,-,ko:K03088,-,-,-,-,"ko00000,ko03021",-,-,-,"Sigma70_r4_2,UPF0122",NA,NA,NA
RCHGF000090,Uncategorized;,AENW01000059,null,"HMPREF9406_3907, EFR35538.1",TnpV,2.44,22.4,0.718,3.39,6.96e-4,0.00399,TnpV,hypothetical protein,negative,354,118,-0.465254237288136,13819.9298,5.63946533203125,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_3907,1.68e-82,243,Transposon-encoded protein TnpV,-,-,-,-,-,-,-,-,-,-,-,-,TnpV,NA,NA,NA
RCHGF000104,metabolic process;cellular process;,AENW01000059,prfB,"prfB, HMPREF9406_3921, EFR35582.1",Bacterial Peptide Chain Release Factor 2 (RF-2),-2.11,360,0.452,-4.67,2.98e-6,3.38e-5,Bacterial Peptide Chain Release Factor 2 (RF-2),peptide chain release factor 2,negative,1047,349,-0.536389684813754,40033.6227,5.10479736328125,prfB,K02836 - prfB - peptide chain release factor 2,(J) Translation,-,J,908340.HMPREF9406_3921,3.3899999999999996e-253,694,Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA,prfB,-,-,ko:K02836,-,-,-,-,"ko00000,ko03012",-,-,-,"PCRF,RF-1",NA,NA,NA
RCHGF000105,cellular process;localization;,AENW01000059,secA,"secA, HMPREF9406_3922, EFR35540.1",Protein translocase subunit secA,-2.45,513,0.368,-6.64,3.22e-11,1.37e-9,Protein translocase subunit secA,"preprotein translocase, SecA subunit",negative,2346,782,-0.500383631713554,89458.4498000004,5.37481689453125,secA,K03070 - secA - preprotein translocase subunit SecA [EC:7.4.2.8] [7.4.2.8],(U) Intracellular trafficing and secretion,Quorum sensing; Protein export; Bacterial secretion system,U,908340.HMPREF9406_3922,0,1528,"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane",secA,-,-,ko:K03070,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044","3.A.5.1,3.A.5.10,3.A.5.2,3.A.5.4",-,-,"Helicase_C,SEC-C,SecA_DEAD,SecA_PP_bind,SecA_SW",NA,NA,NA
RCHGF000106,Uncategorized;,AENW01000059,null,"HMPREF9406_3923, EFR35588.1",NA,2.28,2130,0.496,4.59,4.48e-6,4.85e-5,NA,hypothetical protein,negative,753,251,0.053784860557769,25114.9487,4.32281494140625,None,NA,(M) Cell wall/membrane/envelop biogenesis,-,M,908340.HMPREF9406_3923,1.04e-120,351,PFAM Collagen triple helix repeat (20 copies),-,-,-,-,-,-,-,-,-,-,-,-,Collagen,NA,NA,NA
RCHGF000107,metabolic process;cellular process;biological regulation;,AENW01000059,cspB_1,"cspB_1, HMPREF9406_3924, EFR35549.1",Cold shock protein,-2.55,1040,0.512,-4.98,6.44e-7,9.17e-6,Cold shock protein,cold-shock DNA-binding domain protein,negative,195,65,-0.383076923076923,7490.4401,4.94342041015625,cspB_1,K03704 - cspA - cold shock protein,(K) Transcription,-,K,908340.HMPREF9406_3924,1.13e-40,134,'Cold-shock' DNA-binding domain,-,-,-,-,-,-,-,-,-,-,-,-,CSD,NA,NA,NA
RCHGF000112,metabolic process;,AENW01000059,null,"HMPREF9406_3929, EFR35571.1",Phosphoaminosugar deglycase family protein,2.21,24.7,0.689,3.2,0.00136,0.0069,Phosphoaminosugar deglycase family protein,SIS domain protein,negative,996,332,-0.321987951807229,38096.7779,5.31439208984375,None,K19510 - gfrF - fructoselysine-6-phosphate deglycase,(M) Cell wall/membrane/envelop biogenesis,-,M,908340.HMPREF9406_3929,1.53e-245,673,SIS domain,-,-,-,ko:K19510,-,-,-,-,ko00000,-,-,-,SIS,NA,NA,NA
RCHGF000117,metabolic process;,AENW01000059,null,"HMPREF9406_3934, EFR35566.1",D-TAGATOSE 3-EPIMERASE,2.38,18.6,0.643,3.71,2.09e-4,0.00142,D-TAGATOSE 3-EPIMERASE,"AP endonuclease, family 2",negative,819,273,-0.532234432234432,32070.1375,5.95977783203125,None,K10709 - frlC - fructoselysine 3-epimerase [EC:5.1.3.41] [5.1.3.41],(G) Carbohydrate metabolism and transport,-,G,908340.HMPREF9406_3934,1.42e-209,577,Xylose isomerase-like TIM barrel,-,-,-,ko:K10709,-,-,-,-,ko00000,-,-,-,AP_endonuc_2,NA,NA,NA
RCHGF000119,Uncategorized;,AENW01000059,null,"HMPREF9406_3936, EFR35619.1",NA,1.94,62.4,0.481,4.04,5.38e-5,4.38e-4,NA,hypothetical protein,positive,981,327,-0.285932721712539,37154.2016000001,6.68096923828125,None,NA,NA,-,-,908340.HMPREF9406_3936,1.0299999999999999e-236,650,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA
RCHGF000122,metabolic process;cellular process;,AENW01000058,null,"HMPREF9406_1412, EFR35717.1",NA,-2.28,90,0.886,-2.57,0.0102,0.0367,NA,"pseudouridine synthase, RluA family (EC 5.4.99.-)",positive,912,304,-0.461184210526316,34366.6784000001,6.36041259765625,None,K06180 - rluD - 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23] [5.4.99.23],(J) Translation,-,J,908340.HMPREF9406_1412,1.87e-216,597,Responsible for synthesis of pseudouridine from uracil,rluD,-,5.4.99.23,ko:K06180,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,"PseudoU_synth_2,S4",NA,NA,NA
RCHGF000123,Uncategorized;,AENW01000058,null,"HMPREF9406_1413, EFR35826.1",NA,-1.62,205,0.461,-3.52,4.27e-4,0.00264,NA,"peptidase, S54 family (EC 3.4.21.-)",positive,1251,417,0.266426858513189,46407.3783,7.04278564453125,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_1413,4.89e-301,821,proteolysis,ydcA,-,3.4.21.105,ko:K19225,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,Rhomboid,NA,NA,NA
RCHGF000127,Uncategorized;,AENW01000058,null,"HMPREF9406_1417, EFR35650.1",NA,1.41,85.5,0.562,2.51,0.012,0.042,NA,"PTS system, Lactose/Cellobiose specific IIB subunit",positive,1632,544,0.551102941176471,60485.5885000001,6.77728271484375,None,NA,(G) Carbohydrate metabolism and transport,Starch and sucrose metabolism; Phosphotransferase system (PTS),G,908340.HMPREF9406_1417,0,1030,"The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active - transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane",-,-,-,ko:K02761,"ko00500,ko02060,map00500,map02060",M00275,"R11170,R11172","RC00017,RC03206","ko00000,ko00001,ko00002,ko02000",4.A.3.2,-,-,PTS_EIIC,SSPTS,EnzymeIIBC,cellobiose
RCHGF000140,Uncategorized;,AENW01000058,null,"HMPREF9406_1430, EFR35800.1",Phosphoesterase family protein,-2.64,724,0.49,-5.39,6.96e-8,1.34e-6,Phosphoesterase family protein,phosphodiesterase family protein (EC 3.1.-.-),positive,489,163,-0.393251533742331,18496.4202,5.50262451171875,None,K07095 - K07095 - uncharacterized protein,(S) Function Unknown,-,S,908340.HMPREF9406_1430,9.299999999999998e-122,346,Phosphoesterase,yfcE1,-,-,ko:K07095,-,-,-,-,ko00000,-,-,-,Metallophos_2,NA,NA,NA
RCHGF000145,Uncategorized;,AENW01000058,sigE,"sigE, HMPREF9406_1435, EFR35776.1",RNA polymerase sigma-E factor,2.2,51.9,0.772,2.86,0.00429,0.0183,RNA polymerase sigma-E factor,RNA polymerase sigma-E factor,positive,702,234,-0.405128205128205,27485.7627,7.71405029296875,sigE,K03091 - sigH - RNA polymerase sporulation-specific sigma factor,(K) Transcription,-,K,658659.HMPREF0983_03755,1.26e-154,435,Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released,sigE,-,-,-,-,-,-,-,-,-,-,-,"Sigma70_r2,Sigma70_r4",NA,NA,NA
RCHGF000147,Uncategorized;,AENW01000058,null,"HMPREF9406_1437, EFR35845.1",NA,2.59,256,0.825,3.14,0.0017,0.00838,NA,"sporulation protein, YlmC/YmxH family",positive,243,81,0.277777777777778,9342.81119999999,4.67254638671875,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_1437,9.780000000000001e-58,178,PRC-barrel domain,-,-,-,-,-,-,-,-,-,-,-,-,PRC,NA,NA,NA
