"id","ERGO_Function","GenBank_Function","strand","length_nt","length_aa","GRAVY","Molecular_Weight","Iso_electric_Point","gene_name","Kegg_Orthology","COG_Category_description","KEGG_Pathway_names","COG_category_eggnog","seed_ortholog_eggnog","evalue_eggnog","score_eggnog","Description_eggnog","Preferred_name_eggnog","GOs_eggnog","EC_eggnog","KEGG_ko_eggnog","KEGG_Pathway_eggnog","KEGG_Module_eggnog","KEGG_Reaction_eggnog","KEGG_rclass_eggnog","BRITE_eggnog","KEGG_TC_eggnog","CAZy_eggnog","BiGG_Reaction_eggnog","PFAMs_eggnog","TransAAP_Transporter_Family","TransAAP_Subfamily","TransAAP_Substrate_Function"
"RVCYZ000011","GDP-mannose:phosphatidyl-myo-inositol alpha-1,2-mannosyltransferase (EC 2.4.1.57)","glycosyltransferase family 4 protein (EC 2.4.-.-)","positive",1167,389,"-0.382262210796915","43191.1380000001","7.23443603515625","None","K08256 - pimA - phosphatidyl-myo-inositol alpha-mannosyltransferase [EC:2.4.1.345] [2.4.1.345]","(M) Cell wall/membrane/envelop biogenesis","-","M","552531.BIF_01831","1.22E-286","784","Glycosyl transferases group 1","pimA","GO:0000026,GO:0000030,GO:0000287,GO:0003674,GO:0003824,GO:0004376,GO:0004377,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006629,GO:0006643,GO:0006644,GO:0006650,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009247,GO:0009987,GO:0016020,GO:0016740,GO:0016757,GO:0016758,GO:0019637,GO:0043167,GO:0043169,GO:0043750,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044464,GO:0046467,GO:0046486,GO:0046488,GO:0046872,GO:0070085,GO:0071704,GO:0071944,GO:0097502,GO:1901135,GO:1901137,GO:1901576,GO:1903509","2.4.1.345","ko:K08256","-","-","R11702","-","ko00000,ko01000,ko01003","-","GT4","-","Glyco_trans_1_4,Glyco_transf_4","NA","NA","NA"
"RVCYZ000012","Hypothetical cytosolic protein","YebC/PmpR family DNA-binding transcriptional regulator","positive",753,251,"-0.402788844621514","26768.3681","4.57696533203125","None","K01750 - E4.3.1.12, ocd - ornithine cyclodeaminase [EC:4.3.1.12] [4.3.1.12]","(K) Transcription","-","K","552531.BIF_00561","6.09E-175","488","transcriptional regulatory protein","yebC","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464","-","-","-","-","-","-","-","-","-","-","Transcrip_reg","NA","NA","NA"
"RVCYZ000013","Crossover junction endodeoxyribonuclease ruvC (EC 3.1.22.4)","crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10)","positive",579,193,"-0.113989637305699","20863.8291","8.96112060546875","ruvC","K01159 - ruvC - crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4] [3.1.22.4]","(L) Replication and repair","Homologous recombination","L","552531.BIF_00562","6.75E-132","374","Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group","ruvC","GO:0000725,GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008821,GO:0009058,GO:0009059,GO:0009987,GO:0016787,GO:0016788,GO:0016889,GO:0016894,GO:0031297,GO:0032991,GO:0033554,GO:0034641,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0045005,GO:0046483,GO:0048476,GO:0050896,GO:0051716,GO:0071704,GO:0071932,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901576","3.1.22.4","ko:K01159","ko03440,map03440","-","-","-","ko00000,ko00001,ko01000,ko03400","-","-","-","RuvC","NA","NA","NA"
"RVCYZ000014","Holliday junction DNA helicase ruvA","Holliday junction branch migration protein RuvA","positive",621,207,"-0.056038647342995","22053.0555","5.39984130859375","ruvA","K03550 - ruvA - holliday junction DNA helicase RuvA [EC:3.6.4.12] [3.6.4.12]","(L) Replication and repair","Homologous recombination","L","552531.BIF_00563","5.91E-141","399","The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB","ruvA","GO:0000724,GO:0000725,GO:0003674,GO:0003678,GO:0003824,GO:0004386,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007154,GO:0008150,GO:0008152,GO:0009378,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0031668,GO:0032392,GO:0032508,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044464,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0071103,GO:0071496,GO:0071704,GO:0071840,GO:0071944,GO:0090304,GO:0140097,GO:1901360","3.6.4.12","ko:K03550","ko03440,map03440","-","-","-","ko00000,ko00001,ko01000,ko03400","-","-","-","HHH_5,RuvA_C,RuvA_N","NA","NA","NA"
"RVCYZ000015","Holliday junction DNA helicase ruvB","Holliday junction branch migration DNA helicase RuvB (EC 3.6.4.12)","positive",1065,355,"-0.070704225352113","38708.8381","5.04119873046875","ruvB","K03551 - ruvB - holliday junction DNA helicase RuvB [EC:3.6.4.12] [3.6.4.12]","(L) Replication and repair","Homologous recombination","L","552531.BIF_00229","2.19E-254","698","The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing","ruvB","GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0031668,GO:0033554,GO:0050896,GO:0051716,GO:0071496","3.6.4.12","ko:K03551","ko03440,map03440","-","-","-","ko00000,ko00001,ko01000,ko03400","-","-","-","RuvB_C,RuvB_N","NA","NA","NA"
"RVCYZ000016","Protein translocase subunit YajC","preprotein translocase subunit YajC","positive",438,146,"-0.382876712328767","16200.8884","4.19012451171875","yajC","K03210 - yajC - preprotein translocase subunit YajC","(U) Intracellular trafficing and secretion","Quorum sensing; Protein export; Bacterial secretion system","U","552531.BIF_01832","1.9E-72","221","Preprotein translocase subunit","yajC","-","-","ko:K03210","ko02024,ko03060,ko03070,map02024,map03060,map03070","M00335","-","-","ko00000,ko00001,ko00002,ko02044","3.A.5.1,3.A.5.2","-","-","YajC","NA","NA","NA"
"RVCYZ000017","Adenine phosphoribosyltransferase (EC 2.4.2.7)","adenine phosphoribosyltransferase (EC 2.4.2.7)","positive",579,193,"0.172020725388601","20612.4092","4.85186767578125","None","K00759 - APRT, apt - adenine phosphoribosyltransferase [EC:2.4.2.7] [2.4.2.7]","(F) Nucleotide metabolism and transport","Purine metabolism; Metabolic pathways","F","552531.BIF_01075","2.2E-133","379","Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis","apt","GO:0003674,GO:0003824,GO:0003999,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006144,GO:0006168,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009113,GO:0009987,GO:0016020,GO:0016740,GO:0016757,GO:0016763,GO:0018130,GO:0019438,GO:0034641,GO:0034654,GO:0042440,GO:0043094,GO:0043096,GO:0043101,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044464,GO:0046083,GO:0046084,GO:0046112,GO:0046148,GO:0046483,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576","2.4.2.7","ko:K00759","ko00230,ko01100,map00230,map01100","-","R00190,R01229,R04378","RC00063","ko00000,ko00001,ko01000,ko04147","-","-","-","Pribosyltran","NA","NA","NA"
"RVCYZ000018","Succinyl-CoA synthetase beta chain (EC 6.2.1.5)","ADP-forming succinate--CoA ligase subunit beta (EC 6.2.1.5)","positive",1191,397,"-0.14735516372796","42930.7227000001","4.77520751953125","sucC","K01903 - sucC - succinyl-CoA synthetase beta subunit [EC:6.2.1.5] [6.2.1.5]","(F) Nucleotide metabolism and transport","Citrate cycle (TCA cycle); Propanoate metabolism; C5-Branched dibasic acid metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; NA; Carbon metabolism","F","552531.BIF_01074","5.72E-283","773","Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit","sucC","GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944","6.2.1.5","ko:K01903","ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00173,M00374,M00620","R00405,R02404","RC00004,RC00014","ko00000,ko00001,ko00002,ko01000","-","-","-","ATP-grasp_2,Ligase_CoA","NA","NA","NA"
"RVCYZ000019","Succinyl-CoA synthetase alpha chain (EC 6.2.1.5)","succinate--CoA ligase subunit alpha (EC 6.2.1.5)","positive",915,305,"0.201639344262295","31330.4937","4.86798095703125","sucD","K01902 - sucD - succinyl-CoA synthetase alpha subunit [EC:6.2.1.5] [6.2.1.5]","(C) Energy production and conversion","Citrate cycle (TCA cycle); Propanoate metabolism; C5-Branched dibasic acid metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; NA; Carbon metabolism","C","552531.BIF_01073","1.85E-212","587","Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit","sucD","GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944","6.2.1.5","ko:K01902","ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00173,M00374,M00620","R00405,R02404","RC00004,RC00014","ko00000,ko00001,ko00002,ko01000","-","-","-","CoA_binding,Ligase_CoA","NA","NA","NA"
"RVCYZ000020","Hypothetical membrane spanning protein","DUF6350 family protein","positive",1359,453,"0.714569536423843","49768.0280000001","9.14764404296875","None",,"NA","-","-","552531.BIF_00507","0","877","-","-","-","-","-","-","-","-","-","-","-","-","-","-","NA","NA","NA"
"RVCYZ000021","Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) / IMP cyclohydrolase (EC 3.5.4.10)","bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase (EC 2.1.2.3) / IMP cyclohydrolase (EC 3.5.4.10)","positive",1647,549,"-0.143897996357013","59404.2824000001","5.19476318359375","purH","K00602 - purH - phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10] [2.1.2.3 3.5.4.10]","(F) Nucleotide metabolism and transport","Purine metabolism; One carbon pool by folate; Metabolic pathways; Biosynthesis of secondary metabolites; NA; Antifolate resistance","F","552531.BIF_00506","0","1093","Bifunctional purine biosynthesis protein PurH","purH","GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044464,GO:0071944","2.1.2.3,3.5.4.10","ko:K00602","ko00230,ko00670,ko01100,ko01110,ko01130,ko01523,map00230,map00670,map01100,map01110,map01130,map01523","M00048","R01127,R04560","RC00026,RC00263,RC00456","ko00000,ko00001,ko00002,ko01000,ko04147","-","-","-","AICARFT_IMPCHas,MGS","NA","NA","NA"
"RVCYZ000022","Hypothetical protein","DUF3017 domain-containing protein","positive",288,96,"0.792708333333333","10243.9695","8.63592529296875","None",,"NA","-","-","1690.BPSG_0333","5.52E-37","127","-","-","-","-","-","-","-","-","-","-","-","-","-","DUF3017","NA","NA","NA"
"RVCYZ000023","Aquaporin","aquaporin","negative",1020,340,"0.456176470588236","35788.4316000001","4.30999755859375","None","K06188 - aqpZ - aquaporin Z","(U) Intracellular trafficing and secretion","-","U","552531.BIF_00659","3.45E-221","612","Belongs to the MIP aquaporin (TC 1.A.8) family","-","-","-","ko:K06188","-","-","-","-","ko00000,ko02000","1.A.8","-","-","MIP","MIP",,"glycerol uptake"
"RVCYZ000024","Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)","pseudouridine synthase (EC 5.4.99.-)","positive",771,257,"-0.516731517509728","29274.3481","9.57293701171875","None","K06178 - rluB - 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22] [5.4.99.22]","(J) Translation","-","J","552531.BIF_00660","7.04E-186","516","Belongs to the pseudouridine synthase RsuA family","rluB","GO:0000154,GO:0000455,GO:0001522,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016853,GO:0016866,GO:0022613,GO:0031118,GO:0034470,GO:0034641,GO:0034660,GO:0040007,GO:0042254,GO:0043170,GO:0043412,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360","5.4.99.19,5.4.99.22","ko:K06178,ko:K06183","-","-","-","-","ko00000,ko01000,ko03009","-","-","-","PseudoU_synth_2,S4","NA","NA","NA"
"RVCYZ000025","Cytidylate kinase (EC 2.7.4.14) / GTP-binding protein","bifunctional cytidylate kinase/GTPase Der","positive",2130,710,"-0.297887323943662","78146.6730000004","5.10443115234375","der","K03977 - engA, der - GTPase","(F) Nucleotide metabolism and transport","-","F","552531.BIF_00627","0","1372","GTPase that plays an essential role in the late steps of ribosome biogenesis","der","GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044464,GO:0071944","-","ko:K03977","-","-","-","-","ko00000,ko03009","-","-","-","Cytidylate_kin,KH_dom-like,MMR_HSR1","NA","NA","NA"
"RVCYZ000026","UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)","UTP--glucose-1-phosphate uridylyltransferase","positive",1425,475,"-0.441684210526315","53922.0424000001","4.97393798828125","None","K00963 - UGP2, galU, galF - UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9] [2.7.7.9]","(G) Carbohydrate metabolism and transport","Pentose and glucuronate interconversions; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Metabolic pathways; NA","G","552531.BIF_00196","0","976","UTP-glucose-1-phosphate uridylyltransferase","ugp","-","2.7.7.9","ko:K00963","ko00040,ko00052,ko00500,ko00520,ko01100,ko01130,map00040,map00052,map00500,map00520,map01100,map01130","M00129,M00361,M00362,M00549","R00289","RC00002","ko00000,ko00001,ko00002,ko01000","-","-","-","UDPGP","NA","NA","NA"
"RVCYZ000027","Hypothetical protein","WYL domain-containing protein","positive",1935,645,"-0.362790697674418","71556.8700000003","5.24993896484375","None",,"(K) Transcription","-","K","552531.BIF_00397","0","1214","WYL domain","-","-","-","-","-","-","-","-","-","-","-","-","WYL","NA","NA","NA"
"RVCYZ000028","Hypothetical protein","hypothetical protein","positive",315,105,"-0.194285714285714","12251.1168","10.3251342773438","None",,"NA","-","-","552531.BIF_01921","2.35E-67","204","-","-","-","-","-","-","-","-","-","-","-","-","-","-","NA","NA","NA"
"RVCYZ000029","ATP-dependent helicase (EC 3.6.4-)","DEAD/DEAH box helicase","positive",2589,863,"-0.472421784472768","98207.9266000007","5.73614501953125","None","K03727 - helY - ATP-dependent RNA helicase HelY [EC:3.6.4.-] [3.6.4.-]","(L) Replication and repair","-","L","552531.BIF_00604","0","1685","DEAD DEAH box helicase","helY","GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006401,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009056,GO:0009057,GO:0009987,GO:0016020,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019439,GO:0030312,GO:0034641,GO:0034655,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046700,GO:0070035,GO:0071704,GO:0071944,GO:0090304,GO:0140098,GO:1901360,GO:1901361,GO:1901575","-","ko:K03727","-","-","-","-","ko00000,ko01000","-","-","-","DEAD,DSHCT,Helicase_C,rRNA_proc-arch","NA","NA","NA"
"RVCYZ000030","Hypothetical cytosolic protein","RNA polymerase-binding protein RbpA","positive",345,115,"-0.863478260869566","13283.6584","4.85125732421875","None",,"(K) Transcription","-","K","552531.BIF_00603","5.49E-82","242","Binds to RNA polymerase (RNAP), stimulating transcription from principal, but not alternative sigma factor promoters","rbpA","GO:0001000,GO:0001098,GO:0001108,GO:0003674,GO:0005488,GO:0005515,GO:0006355,GO:0008150,GO:0008270,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0019899,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0042221,GO:0043167,GO:0043169,GO:0043175,GO:0045893,GO:0045935,GO:0046677,GO:0046872,GO:0046914,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0070063,GO:0080090,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141","-","-","-","-","-","-","-","-","-","-","RbpA","NA","NA","NA"
