id,Category,Locus,Gene Name,Aliases,Assigned Function,deseq2_log2_FC,Avg. Expression,lfc SE,wald stat,p-value,deseq2_q_value,ERGO_Function,GenBank_Function,strand,length_nt,length_aa,GRAVY,Molecular_Weight,Iso_electric_Point,gene_name,Kegg_Orthology,COG_Category_description,KEGG_Pathway_names,COG_category_eggnog,seed_ortholog_eggnog,evalue_eggnog,score_eggnog,Description_eggnog,Preferred_name_eggnog,GOs_eggnog,EC_eggnog,KEGG_ko_eggnog,KEGG_Pathway_eggnog,KEGG_Module_eggnog,KEGG_Reaction_eggnog,KEGG_rclass_eggnog,BRITE_eggnog,KEGG_TC_eggnog,CAZy_eggnog,BiGG_Reaction_eggnog,PFAMs_eggnog,TransAAP_Transporter_Family,TransAAP_Subfamily,TransAAP_Substrate_Function
RVCYZ000048,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000177, extdb:pgaptmp_000177",NA,-1.99,1400,0.169,-11.7,8.89e-32,8.09e-31,NA,hypothetical protein,positive,147,49,-1.17551020408163,5415.1808,6.56781005859375,None,NA,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RVCYZ000051,Uncategorized;,NODE_1_length_388644_cov_35.133645,hisI,"hisI, pgaptmp_000180, extdb:pgaptmp_000180",Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19),1.44,126,0.258,5.59,2.25e-8,5.3e-8,Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19),phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19),negative,411,137,-0.608029197080292,15575.2702,4.80889892578125,hisI,K01496 - hisI - phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19] [3.5.4.19],(E) Amino Acid metabolis and transport,Histidine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids,E,552531.BIF_01259,6.65e-100,289,Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP,hisI,"GO:0008150,GO:0040007","3.5.4.19,3.6.1.31","ko:K01496,ko:K11755","ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",M00026,"R04035,R04037","RC00002,RC01055","ko00000,ko00001,ko00002,ko01000",-,-,iNJ661.Rv1606,PRA-CH,NA,NA,NA
RVCYZ000058,metabolic process;cellular process;,NODE_1_length_388644_cov_35.133645,frr,"frr, pgaptmp_000187, extdb:pgaptmp_000187",Ribosome Recycling Factor (RRF),-2.09,4180,0.122,-17.1,1.28e-65,7.38e-64,Ribosome Recycling Factor (RRF),ribosome recycling factor,negative,552,184,-0.649456521739131,20217.8003,6.65802001953125,frr,"K02838 - frr, MRRF, RRF - ribosome recycling factor",(J) Translation,-,J,552531.BIF_01916,1.1599999999999997e-119,343,Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another,frr,"GO:0002181,GO:0002184,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006412,GO:0006415,GO:0006518,GO:0006807,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016043,GO:0019538,GO:0022411,GO:0030312,GO:0032984,GO:0034641,GO:0034645,GO:0040007,GO:0043021,GO:0043023,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044464,GO:0044877,GO:0071704,GO:0071840,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K02838,-,-,-,-,"ko00000,ko03012",-,-,-,RRF,NA,NA,NA
RVCYZ000059,metabolic process;cellular process;,NODE_1_length_388644_cov_35.133645,pyrH,"pyrH, pgaptmp_000188, extdb:pgaptmp_000188",Uridylate kinase (EC 2.7.4.22),-1.26,2180,0.112,-11.2,3.05e-29,2.4799999999999998e-28,Uridylate kinase (EC 2.7.4.22),UMP kinase (EC 2.7.4.22),negative,744,248,-0.038306451612903,26455.8851,5.17535400390625,pyrH,K09903 - pyrH - uridylate kinase [EC:2.7.4.22] [2.7.4.22],(F) Nucleotide metabolism and transport,Pyrimidine metabolism; Metabolic pathways,F,552531.BIF_01915,5.41e-172,480,Catalyzes the reversible phosphorylation of UMP to UDP,pyrH,"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006213,GO:0006220,GO:0006221,GO:0006225,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009041,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009132,GO:0009133,GO:0009138,GO:0009139,GO:0009163,GO:0009165,GO:0009185,GO:0009188,GO:0009193,GO:0009194,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019693,GO:0033862,GO:0034404,GO:0034641,GO:0034654,GO:0040007,GO:0042455,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044464,GO:0046048,GO:0046131,GO:0046132,GO:0046134,GO:0046390,GO:0046483,GO:0046872,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0071944,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659",2.7.4.22,ko:K09903,"ko00240,ko01100,map00240,map01100",-,R00158,RC00002,"ko00000,ko00001,ko01000",-,-,-,AA_kinase,NA,NA,NA
RVCYZ000060,metabolic process;cellular process;biological regulation;,NODE_1_length_388644_cov_35.133645,tsf,"tsf, pgaptmp_000189, extdb:pgaptmp_000189",Protein translation elongation factor Ts (EF-Ts),-1.14,8230,0.141,-8.07,7.14e-16,2.92e-15,Protein translation elongation factor Ts (EF-Ts),translation elongation factor Ts,negative,855,285,-0.134736842105263,30073.799,4.88641357421875,tsf,"K02357 - tsf, TSFM - elongation factor Ts",(J) Translation,-,J,552531.BIF_02111,2.4999999999999996e-177,499,Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome,tsf,"GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0019538,GO:0030312,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K02357,-,-,-,-,"ko00000,ko03012,ko03029",-,-,-,EF_TS,NA,NA,NA
RVCYZ000081,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000212, extdb:pgaptmp_000212",Phosphoglycerate mutase family protein,-1.16,3800,0.13,-8.89,6.01e-19,2.98e-18,Phosphoglycerate mutase family protein,histidine phosphatase family protein (EC 3.1.3.-),negative,822,274,-0.610948905109489,31338.7335,5.11138916015625,None,"K01834 - PGAM, gpmA - 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11] [5.4.2.11]",(G) Carbohydrate metabolism and transport,"Glycolysis / Gluconeogenesis; Glycine, serine and threonine metabolism; Methane metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; NA; Carbon metabolism; Biosynthesis of amino acids; Glucagon signaling pathway; Central carbon metabolism in cancer",G,552531.BIF_00415,1.7199999999999998e-206,570,Phosphoglycerate mutase family,gpmB,"GO:0003674,GO:0003824,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0042578,GO:0044237","3.1.3.85,5.4.2.11","ko:K01834,ko:K22306","ko00010,ko00260,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04922,ko05230,map00010,map00260,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map04922,map05230","M00001,M00002,M00003",R01518,RC00536,"ko00000,ko00001,ko00002,ko01000,ko04131,ko04147",-,-,-,His_Phos_1,NA,NA,NA
RVCYZ000082,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000213, extdb:pgaptmp_000213",Hypothetical cytosolic protein,-2.64,9610,0.166,-15.9,1.04e-56,4.279999999999999e-55,Hypothetical cytosolic protein,pyridoxal 5'-phosphate synthase (EC 1.4.3.5) / pyridoxamine 5'-phosphate oxidase family protein (EC 1.-.-.-),negative,402,134,-0.338805970149254,14879.5882,4.91314697265625,None,K07006 - K07006 - uncharacterized protein,(S) Function Unknown,-,S,552531.BIF_00414,9.97e-94,273,Pfam:Pyridox_oxidase,pdxH,-,-,ko:K07006,-,-,-,-,ko00000,-,-,-,Putative_PNPOx,NA,NA,NA
RVCYZ000087,metabolic process;cellular process;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000221, extdb:pgaptmp_000221",Ribose-phosphate pyrophosphokinase (EC 2.7.6.1),-1.06,2580,0.124,-8.59,8.44e-18,3.94e-17,Ribose-phosphate pyrophosphokinase (EC 2.7.6.1),ribose-phosphate diphosphokinase (EC 2.7.6.1),negative,1017,339,-0.001769911504425,36715.585,6.07537841796875,None,"K00948 - PRPS, prsA - ribose-phosphate pyrophosphokinase [EC:2.7.6.1] [2.7.6.1]",(F) Nucleotide metabolism and transport,Pentose phosphate pathway; Purine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; NA; Carbon metabolism; Biosynthesis of amino acids,F,552531.BIF_00739,2.2699999999999997e-246,676,Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P),prs,"GO:0000287,GO:0003674,GO:0003824,GO:0004749,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006015,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016020,GO:0016740,GO:0016772,GO:0016778,GO:0019637,GO:0019693,GO:0030145,GO:0030312,GO:0040007,GO:0043167,GO:0043169,GO:0044237,GO:0044464,GO:0046390,GO:0046391,GO:0046872,GO:0046914,GO:0071704,GO:0071944,GO:0090407,GO:1901135,GO:1901137,GO:1901576",2.7.6.1,ko:K00948,"ko00030,ko00230,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00230,map01100,map01110,map01120,map01130,map01200,map01230",M00005,R01049,"RC00002,RC00078","ko00000,ko00001,ko00002,ko01000",-,-,-,"Pribosyl_synth,Pribosyltran_N",NA,NA,NA
RVCYZ000089,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000223, extdb:pgaptmp_000223",Hypothetical protein,-1.03,1130,0.123,-8.36,6.36e-17,2.78e-16,Hypothetical protein,phosphoribosylglycinamide synthetase,negative,615,205,-0.520975609756098,23039.2798,4.24383544921875,None,"K02424 - fliY, tcyA - L-cystine transport system substrate-binding protein; K20454 - dml - 2,3-dimethylmalate lyase [EC:4.1.3.32] [4.1.3.32]",NA,-,-,552531.BIF_00884,1.4399999999999998e-143,405,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA
RVCYZ000098,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000232, extdb:pgaptmp_000232",Hydrolase (HAD superfamily),-1.09,3210,0.108,-10.1,6.819999999999999e-24,4.3199999999999995e-23,Hydrolase (HAD superfamily),HAD-IIA family hydrolase,negative,1038,346,-0.098554913294798,36985.3139,4.88653564453125,None,NA,(G) Carbohydrate metabolism and transport,-,G,552531.BIF_00918,4.09e-248,681,Haloacid dehalogenase-like hydrolase,-,-,-,-,-,-,-,-,-,-,-,-,"Hydrolase_6,Hydrolase_like",NA,NA,NA
RVCYZ000099,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000233, extdb:pgaptmp_000233",Hypothetical cytosolic protein,-1.86,9300,0.108,-17.3,6.45e-67,4.33e-65,Hypothetical cytosolic protein,helicase,negative,1665,555,-1.4572972972973,63801.8079000002,5.10467529296875,None,NA,(L) Replication and repair,-,L,552531.BIF_00302,2.7499999999999998e-261,732,Tetratricopeptide repeat,-,-,-,-,-,-,-,-,-,-,-,-,TPR_19,NA,NA,NA
RVCYZ000111,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000245, extdb:pgaptmp_000245",Hypothetical membrane associated protein,-1.1,1660,0.127,-8.7,3.33e-18,1.58e-17,Hypothetical membrane associated protein,DUF4190 domain-containing protein,negative,786,262,-0.564503816793893,28429.8893,4.66998291015625,None,NA,NA,-,-,552531.BIF_01028,5.69e-190,527,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA
RVCYZ000112,metabolic process;cellular process;,NODE_1_length_388644_cov_35.133645,pheT,"pheT, pgaptmp_000246, extdb:pgaptmp_000246",Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20),-1.05,6700,0.105,-9.99,1.6999999999999997e-23,1.06e-22,Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20),phenylalanine--tRNA ligase subunit beta (EC 6.1.1.20),negative,2604,868,-0.32811059907834,94850.3946000005,4.87554931640625,pheT,"K01890 - FARSB, pheT - phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20] [6.1.1.20]",(J) Translation,Aminoacyl-tRNA biosynthesis,J,552531.BIF_00495,0,1754,Phenylalanyl-tRNA synthetase beta,pheT,"GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006432,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009328,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0019538,GO:0019752,GO:0030312,GO:0032991,GO:0034641,GO:0034645,GO:0034660,GO:0040007,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1902494",6.1.1.20,ko:K01890,"ko00970,map00970","M00359,M00360",R03660,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,-,"B3_4,B5,FDX-ACB,tRNA_bind",NA,NA,NA
RVCYZ000128,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000261, extdb:pgaptmp_000261",Hypothetical membrane spanning protein,-1.05,2120,0.0841,-12.5,6.63e-36,7.729999999999999e-35,Hypothetical membrane spanning protein,DUF3043 domain-containing protein,positive,606,202,-0.463861386138614,23715.617,10.2721557617188,None,NA,(S) Function Unknown,-,S,552531.BIF_00130,6.919999999999999e-134,380,Protein of unknown function (DUF3043),-,"GO:0008150,GO:0009605,GO:0009607,GO:0020012,GO:0030682,GO:0042783,GO:0043207,GO:0044403,GO:0044413,GO:0044415,GO:0044419,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0051805,GO:0051807,GO:0051810,GO:0051832,GO:0051834,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0075136",-,-,-,-,-,-,-,-,-,-,DUF3043,NA,NA,NA
