id,Category,Locus,Gene Name,Aliases,Assigned Function,deseq2_log2_FC,Avg. Expression,lfc SE,wald stat,p-value,deseq2_q_value,ERGO_Function,GenBank_Function,strand,length_nt,length_aa,GRAVY,Molecular_Weight,Iso_electric_Point,gene_name,Kegg_Orthology,COG_Category_description,KEGG_Pathway_names,COG_category_eggnog,seed_ortholog_eggnog,evalue_eggnog,score_eggnog,Description_eggnog,Preferred_name_eggnog,GOs_eggnog,EC_eggnog,KEGG_ko_eggnog,KEGG_Pathway_eggnog,KEGG_Module_eggnog,KEGG_Reaction_eggnog,KEGG_rclass_eggnog,BRITE_eggnog,KEGG_TC_eggnog,CAZy_eggnog,BiGG_Reaction_eggnog,PFAMs_eggnog,TransAAP_Transporter_Family,TransAAP_Subfamily,TransAAP_Substrate_Function
RVCYZ000023,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000151, extdb:pgaptmp_000151",Aquaporin,3.27,12000,0.121,27.1,7.169999999999999e-162,8.239999999999998e-160,Aquaporin,aquaporin,negative,1020,340,0.456176470588236,35788.4316000001,4.30999755859375,None,K06188 - aqpZ - aquaporin Z,(U) Intracellular trafficing and secretion,-,U,552531.BIF_00659,3.45e-221,612,Belongs to the MIP aquaporin (TC 1.A.8) family,-,-,-,ko:K06188,-,-,-,-,"ko00000,ko02000",1.A.8,-,-,MIP,MIP,NA,glycerol uptake
RVCYZ000027,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000156, extdb:pgaptmp_000156",Hypothetical protein,1.12,5510,0.0808,13.8,1.2899999999999999e-43,7.279999999999999e-43,Hypothetical protein,WYL domain-containing protein,positive,1935,645,-0.362790697674418,71556.8700000003,5.24993896484375,None,NA,(K) Transcription,-,K,552531.BIF_00397,0,1214,WYL domain,-,-,-,-,-,-,-,-,-,-,-,-,WYL,NA,NA,NA
RVCYZ000028,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000157, extdb:pgaptmp_000157",Hypothetical protein,1.85,1050,0.127,14.5,1.0099999999999999e-47,6.239999999999999e-47,Hypothetical protein,hypothetical protein,positive,315,105,-0.194285714285714,12251.1168,10.3251342773438,None,NA,NA,-,-,552531.BIF_01921,2.3499999999999997e-67,204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA
RVCYZ000030,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000159, extdb:pgaptmp_000159",Hypothetical cytosolic protein,1.3,531,0.1,13,1.3e-38,6.549999999999999e-38,Hypothetical cytosolic protein,RNA polymerase-binding protein RbpA,positive,345,115,-0.863478260869566,13283.6584,4.85125732421875,None,NA,(K) Transcription,-,K,552531.BIF_00603,5.489999999999999e-82,242,"Binds to RNA polymerase (RNAP), stimulating transcription from principal, but not alternative sigma factor promoters",rbpA,"GO:0001000,GO:0001098,GO:0001108,GO:0003674,GO:0005488,GO:0005515,GO:0006355,GO:0008150,GO:0008270,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0019899,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0042221,GO:0043167,GO:0043169,GO:0043175,GO:0045893,GO:0045935,GO:0046677,GO:0046872,GO:0046914,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0070063,GO:0080090,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141",-,-,-,-,-,-,-,-,-,-,RbpA,NA,NA,NA
RVCYZ000031,metabolic process;cellular process;response to stimulus;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000160, extdb:pgaptmp_000160","Phosphohydrolase, HAD family (EC 3.1.3.-)",1.82,1590,0.0769,23.6,2.17e-123,8.310000000000001e-122,"Phosphohydrolase, HAD family (EC 3.1.3.-)",HAD hydrolase-like protein,positive,717,239,-0.302510460251046,26649.9812,4.95062255859375,None,K01091 - gph - phosphoglycolate phosphatase [EC:3.1.3.18] [3.1.3.18],(S) Function Unknown,Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; NA,S,552531.BIF_01920,2.6099999999999997e-179,498,HAD-hyrolase-like,nt5e,"GO:0003674,GO:0003824,GO:0004672,GO:0004713,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018108,GO:0018193,GO:0018212,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0046777,GO:0071704,GO:0140096,GO:1901564",3.1.3.18,ko:K01091,"ko00630,ko01100,ko01110,ko01130,map00630,map01100,map01110,map01130",-,R01334,RC00017,"ko00000,ko00001,ko01000",-,-,-,HAD_2,NA,NA,NA
RVCYZ000036,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000165, extdb:pgaptmp_000165",Hypothetical signal transduction protein,1.52,1220,0.122,12.4,2.4899999999999996e-35,1.13e-34,Hypothetical signal transduction protein,FHA domain-containing protein,negative,438,146,-0.256164383561644,15980.8047,4.96295166015625,None,K01601 - rbcL - ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] [4.1.1.39],(T) Signal Transduction,-,T,552531.BIF_00986,2.66e-97,283,"Inner membrane component of T3SS, cytoplasmic domain",garA,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0005886,GO:0006109,GO:0006110,GO:0006140,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009889,GO:0009890,GO:0009892,GO:0009894,GO:0009895,GO:0009987,GO:0010563,GO:0010675,GO:0010677,GO:0016020,GO:0016310,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0030312,GO:0030808,GO:0030809,GO:0030811,GO:0030812,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031329,GO:0031330,GO:0036211,GO:0042325,GO:0042326,GO:0042802,GO:0043170,GO:0043412,GO:0043457,GO:0043467,GO:0043470,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0045820,GO:0045912,GO:0045934,GO:0045936,GO:0045980,GO:0046777,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051174,GO:0051193,GO:0051195,GO:0051196,GO:0051198,GO:0062012,GO:0062014,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:1900371,GO:1900372,GO:1900542,GO:1900543,GO:1901564,GO:1903578,GO:1903579,GO:2001169,GO:2001170",-,-,-,-,-,-,-,-,-,-,"FHA,Yop-YscD_cpl,zinc_ribbon_2",NA,NA,NA
RVCYZ000042,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000171, extdb:pgaptmp_000171",Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31),2.09,677,0.0883,23.6,1.51e-123,5.91e-122,Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31),phosphoribosyl-ATP diphosphatase (EC 3.6.1.31),negative,261,87,-0.280459770114942,9767.96199999999,4.58282470703125,None,K01523 - hisE - phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31] [3.6.1.31],(E) Amino Acid metabolis and transport,Histidine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids,E,552531.BIF_02246,3.1799999999999992e-55,172,Phosphoribosyl-ATP pyrophosphohydrolase,hisE,"GO:0000287,GO:0003674,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0008150,GO:0009605,GO:0009607,GO:0030312,GO:0040007,GO:0043167,GO:0043169,GO:0043207,GO:0044403,GO:0044419,GO:0044464,GO:0046872,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0071944,GO:0075136,GO:0075139",3.6.1.31,ko:K01523,"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",M00026,R04035,RC00002,"ko00000,ko00001,ko00002,ko01000",-,-,-,PRA-PH,NA,NA,NA
RVCYZ000043,metabolic process;cellular process;,NODE_1_length_388644_cov_35.133645,rpe,"rpe, pgaptmp_000172, extdb:pgaptmp_000172",Ribulose-phosphate 3-epimerase (EC 5.1.3.1),1.56,1510,0.0968,16.1,1.82e-58,1.4099999999999998e-57,Ribulose-phosphate 3-epimerase (EC 5.1.3.1),ribulose-phosphate 3-epimerase (EC 5.1.3.1),negative,663,221,-0.064705882352941,24165.2727,5.03302001953125,rpe,"K01783 - rpe, RPE - ribulose-phosphate 3-epimerase [EC:5.1.3.1] [5.1.3.1]",(G) Carbohydrate metabolism and transport,Pentose phosphate pathway; Pentose and glucuronate interconversions; Carbon fixation in photosynthetic organisms; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; NA; Carbon metabolism; Biosynthesis of amino acids,G,552531.BIF_01279,2.6799999999999997e-157,441,Ribulose-phosphate 3-epimerase,rpe,"GO:0003674,GO:0003824,GO:0004750,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006081,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009052,GO:0009056,GO:0009117,GO:0009987,GO:0016052,GO:0016853,GO:0016854,GO:0016857,GO:0019321,GO:0019323,GO:0019362,GO:0019637,GO:0019682,GO:0019693,GO:0034641,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044262,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046365,GO:0046483,GO:0046496,GO:0046872,GO:0051156,GO:0051186,GO:0055086,GO:0071704,GO:0072524,GO:1901135,GO:1901360,GO:1901564,GO:1901575",5.1.3.1,ko:K01783,"ko00030,ko00040,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00040,map00710,map01100,map01110,map01120,map01130,map01200,map01230","M00004,M00007",R01529,RC00540,"ko00000,ko00001,ko00002,ko01000",-,-,-,Ribul_P_3_epim,NA,NA,NA
RVCYZ000047,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000176, extdb:pgaptmp_000176",Hypothetical protein,3.74,5730,0.18,20.7,3.65e-95,6.059999999999999e-94,Hypothetical protein,hypothetical protein,positive,303,101,-1.46633663366337,11547.5803,5.01214599609375,None,NA,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RVCYZ000048,Uncategorized;,NODE_1_length_388644_cov_35.133645,null,"pgaptmp_000177, extdb:pgaptmp_000177",NA,2.65,1400,0.152,17.4,4.74e-68,4.57e-67,NA,hypothetical protein,positive,147,49,-1.17551020408163,5415.1808,6.56781005859375,None,NA,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RVCYZ000051,Uncategorized;,NODE_1_length_388644_cov_35.133645,hisI,"hisI, pgaptmp_000180, extdb:pgaptmp_000180",Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19),-1.38,126,0.242,-5.71,1.1e-8,1.78e-8,Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19),phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19),negative,411,137,-0.608029197080292,15575.2702,4.80889892578125,hisI,K01496 - hisI - phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19] [3.5.4.19],(E) Amino Acid metabolis and transport,Histidine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids,E,552531.BIF_01259,6.65e-100,289,Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP,hisI,"GO:0008150,GO:0040007","3.5.4.19,3.6.1.31","ko:K01496,ko:K11755","ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",M00026,"R04035,R04037","RC00002,RC01055","ko00000,ko00001,ko00002,ko01000",-,-,iNJ661.Rv1606,PRA-CH,NA,NA,NA
RVCYZ000058,metabolic process;cellular process;,NODE_1_length_388644_cov_35.133645,frr,"frr, pgaptmp_000187, extdb:pgaptmp_000187",Ribosome Recycling Factor (RRF),3.01,4180,0.11,27.5,2.3399999999999998e-166,4.19e-164,Ribosome Recycling Factor (RRF),ribosome recycling factor,negative,552,184,-0.649456521739131,20217.8003,6.65802001953125,frr,"K02838 - frr, MRRF, RRF - ribosome recycling factor",(J) Translation,-,J,552531.BIF_01916,1.1599999999999997e-119,343,Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another,frr,"GO:0002181,GO:0002184,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006412,GO:0006415,GO:0006518,GO:0006807,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016043,GO:0019538,GO:0022411,GO:0030312,GO:0032984,GO:0034641,GO:0034645,GO:0040007,GO:0043021,GO:0043023,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044464,GO:0044877,GO:0071704,GO:0071840,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K02838,-,-,-,-,"ko00000,ko03012",-,-,-,RRF,NA,NA,NA
