"Name","P Value","Q Value","Set Size","Stat Mean"
"Bacterial_respiration_proton_transport_and_oxidative_phosphorylation","0.019161316780282853","0.08535495656671452","47","1.2106636433728348"
"Bacterial_SSU","0.023962107493993485","0.1036008765181483","20","1.1658014691402123"
"Unknown_substrate_transporters","0.02685397002889916","0.11278667412137647","80","1.1183141156715992"
"Biosynthesis_of_sulfur-containing_coenzymes","0.032085586106754646","0.13101614326924813","20","1.090326813648507"
"Bacterial_aerobic_respiration_proton_transport_and_oxidative_phosphorylation","0.03401261885763762","0.13290906907402453","18","1.079649534051339"
"Listeria_phage","0.034357446427298856","0.13290906907402453","14","1.081071198692427"
"Bacterial_LSU","0.0361991054239816","0.13538866504385202","34","1.046649306542286"
"Phage","0.03768046462696973","0.13538866504385202","34","1.0351864208116757"
"Pyrimidine_biosynthesis","0.037761464399985935","0.13538866504385202","36","1.0428257526634686"
"Phosphorus_metabolism","0.04982766038616558","0.17439681135157953","24","0.9626225699140432"
"Lipid_metabolism","0.05797570099301282","0.19819600106913685","60","0.9150752049046396"
"Oligosaccharides_membrane_transport","0.07306279874901504","0.24409616854784572","13","0.8580771543364525"
"Bacterial_Ribosomal_Complex","0.08041146633433582","0.260040899934576","81","0.8119434631227141"
"L-homocysteine_biosynthesis","0.08137334283667004","0.260040899934576","12","0.8334086657606254"
"Bacterial_Protein_Biosynthesis","0.08440594720602282","0.26399306892096497","132","0.7964274161697189"
"Bacterial_Protein_Degradation","0.09017041994580915","0.27614691108404055","68","0.7812764413874991"
"Listeria_phage_synthesis_proteins","0.096512981267893","0.289538943803679","11","0.7733449145486353"
"Bacterial_Excision_Repair","0.1140070716288758","0.33154281514708084","34","0.7000457376919247"
"Bacterial_Transcription_Repressors","0.11502505831633417","0.33154281514708084","12","0.7065867450813509"
"L-lysine_biosynthesis","0.12075925307098606","0.34137711925836445","11","0.6906785281083304"
"Nucleotide_sugar_biosynthesis","0.1469865010222825","0.40621948459836826","22","0.6145131208574537"
"Antibiotic_class","0.15060306767070455","0.40621948459836826","17","0.6042508571110788"
"Metals_uptake_PM","0.15386734128160098","0.40621948459836826","19","0.5981844757659514"
"Mannan,_gluco_and_galactomannan_degradation","0.15475027984699743","0.40621948459836826","12","0.6019800181968602"
"Quorum_sensing_types","0.16764805842648262","0.43235551909987624","17","0.5621487709212234"
"Nucleotide_Excision_Repair_NER","0.1717008946427926","0.4346683767100239","10","0.5611044550547162"
"Aminoacyl_tRNA_Biosynthesis","0.17627508352122748","0.4346683767100239","20","0.5480358010093742"
"Bacterial_Chromatin_Architecture","0.17741566396327504","0.4346683767100239","16","0.5405092239099384"
"Anaerobic_respiratory_chain_proton_transport_and_oxidative_phosphorylation","0.19255296316898404","0.4640210751777156","28","0.507801831457884"
"Two-component_signal_transduction","0.20279081789964354","0.4782257600211433","18","0.4876485349893098"
"Aminoacyl-tRNA_Biosynthesis","0.20495389715191856","0.4782257600211433","19","0.4866226093799393"
"TCA_cycle_and_related_pathways","0.21244504190037022","0.48795970561491286","16","0.4700604672612466"
"Bacterial_Photosynthesis","0.2245838733985382","0.49808817140433714","28","0.44098880863946793"
"Photosynthesis_and_respiration_in_cyanobacteria","0.2245838733985382","0.49808817140433714","28","0.44098880863946793"
"Bacterial_Endogenous_Protein_Quality_Control_and_Degradation","0.22701977880333735","0.49808817140433714","15","0.4443223578802335"
"Bacterial_Transcription_Regulation","0.23198696219155307","0.5015012270905632","82","0.4236502100323858"
"Proton-motive_cycle","0.24838803251684063","0.529174504057617","73","0.3967043696223345"
"Electron_transport_in_cyanobacterial_tylakoid_membrane","0.2575573445478776","0.5408704235505429","17","0.38109725848436765"
"Phosphorus_regulated_systems","0.26627777435840605","0.5513075046575449","13","0.3649599673200326"
"Phosphate_Regulation","0.2835108868398196","0.578834727297965","10","0.33616028772182427"
"Bacterial_Transcription","0.30675121060716615","0.6177044925925127","92","0.2921542549783895"
"Coenzyme_and_cofactor_metabolism","0.3333520230874423","0.6592008199492404","60","0.24951430202340807"
"Bacterial_DNA_Recombination","0.3363269489536941","0.6592008199492404","29","0.24634630415955247"
"Bacterial_Recombination_Synapsis","0.3442335275561681","0.6600231381823436","12","0.23513578628501675"
"Photosynthesis_in_cyanobacteria","0.34907994805193177","0.6600231381823436","11","0.22779259960953024"
"Nucleotide_sugar_biosynthesis_from_fructose","0.3502163590355293","0.6600231381823436","10","0.22954595116901072"
"Reserve_carbohydrate_biosynthesis","0.3616469924652579","0.672938074587252","10","0.20875301693260442"
"Virulence","0.38129069390888093","0.7006216500575687","57","0.1749700601793453"
"Bacterial_DNA_Repair","0.3949544250624091","0.7167691417799276","89","0.15405703984801333"
"Bacterial_Miscellaneous_Translation_Proteins","0.43741548248527473","0.7828633038292748","10","0.09280437326386996"
"Degradation_of_glutamate,_glutamine,_lysine,_proline_and_arginine","0.44681168351627315","0.7828633038292748","15","0.07804789719247691"
"Bacterial_Nucleic_acid_metabolism","0.4473504593310142","0.7828633038292748","291","0.07647611556062935"
"Polyketides","0.45767673626962774","0.7915115321368856","17","0.06190776109929413"
"Carbohydrate_membrane_transport","0.4754537605570836","0.8106382362079506","28","0.035747053347079207"
"Amino_acid_metabolism","0.48026337242476624","0.8106382362079506","216","0.028879481580481575"
"Lipid_degradation","0.48528003255986163","0.8106382362079506","19","0.022481804974293713"
"Amino_acid_biosynthesis","0.49495133780362827","0.8110680317390873","127","0.007485052521120861"
"Secondary_metabolism","0.5020083648776924","0.8110680317390873","19","-0.0030151535371586206"
"Bacterial_Translation_Factors","0.5020897339337207","0.8110680317390873","20","-0.002794256422013123"
"Acetyl-CoA--glyoxylate_biosynthesis","0.5145589467308772","0.821040374401799","10","-0.02200821118924404"
"Isoprenoid_biosynthesis","0.5194337062541994","0.821040374401799","11","-0.02835501250072539"
"Bacterial_tRNA_Processing","0.538908269744579","0.8367698129558855","12","-0.05687055594581585"
"Nitrogen_metabolism","0.5464619186650681","0.8367698129558855","14","-0.06813338612737034"
"Cytosolic_reactions_of_nitrogen_metabolism","0.5464619186650681","0.8367698129558855","14","-0.06813338612737034"
"Fatty_acid_degradation","0.5915331070113647","0.8945249145697658","12","-0.13798585048903597"
"Bacterial_sporulation_transcription_regulators","0.6072369610646005","0.8945249145697658","10","-0.1598965176744909"
"Gram_positive_sporulation_regulation","0.6072369610646005","0.8945249145697658","10","-0.1598965176744909"
"Mismatch_Repair","0.6085203500474597","0.8945249145697658","16","-0.16045482639154304"
"Polyketides_type_1","0.6288221891681","0.8987546335729294","15","-0.1926060801904949"
"Polyketides_type1_modular","0.6288221891681","0.8987546335729294","15","-0.1926060801904949"
"PRPPGLNIMP.ANA","0.6297396412109642","0.8987546335729294","12","-0.19498986913122637"
"Bacterial_Amino_peptidases","0.6389853906575944","0.9031812733333306","13","-0.21034376671950766"
"Amino_acid_catabolism","0.6473629363151685","0.9063081108412359","63","-0.21899099460454152"
"Biosynthesis_of_nucleotide-sugar_precursors","0.6691800918993434","0.9159107094231601","16","-0.2554016228512582"
"Sugar_precursors_of_streptococcal_capsular_and_exopolysaccharides","0.6691800918993434","0.9159107094231601","16","-0.2554016228512582"
"Bacterial_RNA_Processing","0.6729139905966074","0.9159107094231601","30","-0.2601540985690226"
"Long-Patch_MMR","0.6864890269540496","0.9258154767178466","13","-0.2838579087911889"
"Recombinational_Repair_RER","0.6972530971106796","0.9317836843206355","25","-0.3000161543926423"
"Bacterial_Transcription_Regulators","0.7182235434885298","0.947730190990654","49","-0.334544611730313"
"Bacterial_Basic_Transcription","0.7220801455166888","0.947730190990654","10","-0.3473046985921593"
"Bacterial_Chromosomal_Replication_Elongation","0.7305366210496735","0.9503440999495754","14","-0.3588209007056821"
"Bacterial_Transcription_Regulators","0.7386471479946377","0.9524660592562434","59","-0.37008287360092557"
"Ion_membrane_transport","0.7559258049280831","0.9662703767341584","47","-0.40185986280027486"
"Bacterial_Exopeptidases","0.7681400811234379","0.9683808726741922","16","-0.43195495715823623"
"SOS_Error-Prone_Repair_SOS","0.776939565842202","0.9683808726741922","28","-0.44237528183810154"
"NAD_and_NADP_metabolism","0.7784789775402035","0.9683808726741922","13","-0.45052104778387586"
"Signal_transduction","0.787851667920035","0.9683808726741922","28","-0.4652344991170374"
"GLNCO2NH3UMPCO2.ANA","0.7905149981013813","0.9683808726741922","10","-0.47945179183552294"
"Bacterial_rRNA_processing","0.8085313349217832","0.9781838389506428","14","-0.5105548755317569"
"Bacterial_Chromosomal_Replication_Initiation","0.8118260432107376","0.9781838389506428","12","-0.5196452913559988"
"Coenzyme_membrane_transport","0.8361685052124882","0.9993233354978517","20","-0.5701350683112851"
"Glycogen_and_starch_degradation","0.8454821781218933","0.9999999997365971","13","-0.6048028633822582"
"Bacterial_Ribosomal_Protein_Modification","0.8564083847016611","0.9999999997365971","10","-0.6368346140242394"
"Bacterial_Regulatory_Proteolysis","0.8756150025352935","0.9999999997365971","10","-0.6840412532455846"
"Bacterial_DNA_Replication","0.8950348710774672","0.9999999997365971","27","-0.7298636555393174"
"Predicted_transporter_of_unknown_function","0.9209814732097141","0.9999999997365971","19","-0.82600400843716"
"5-aminolevulinate_uptake_dpp_ABC_transporter","0.9423148907264782","0.9999999997365971","10","-0.9350728609968015"
"Dipeptide_uptake_dpp_ABC_transporter","0.9423148907264782","0.9999999997365971","10","-0.9350728609968015"
"UDP-N-acetylmuramoyl-oligo(depsi)peptide_biosynthesis","0.9446776691969955","0.9999999997365971","13","-0.9607445597412557"
"Degradation_of_aromatic_amino_acids","0.9599554626028362","0.9999999997365971","19","-1.027247218415786"
"L-phenylalanine_biosynthesis","0.9642089502974347","0.9999999997365971","11","-1.0718397138188247"
"Metal_efflux","0.973699376084019","0.9999999997365971","22","-1.1445798065778259"
"L-tyrosine_biosynthesis","0.9802245727393596","0.9999999997365971","11","-1.2275808413891574"
"Heteropolysaccharide_biosynthesis","0.9870409014638675","0.9999999997365971","21","-1.3100629427022727"
"Capsular_and_exopolysaccharide_metabolism","0.9904355533701349","0.9999999997365971","46","-1.3649963335899402"
"Peptide_uptake","0.9942933104581894","0.9999999997365971","20","-1.492648829008993"
"Sporulation","0.9985747361240136","0.9999999997365971","15","-1.7902306502531178"
"Peptidoglycan_metabolism","0.9989781003689782","0.9999999997365971","24","-1.8436775739192601"
"Peptidoglycan_biosynthesis","0.9990440504349837","0.9999999997365971","20","-1.8802326203739537"
"Bacterial_cell_division","0.999327516503577","0.9999999997365971","12","-1.9627047162019051"
"Membrane_transport","0.9997979370029674","0.9999999997365971","275","-2.0472054802451254"
"Cellular_processing","0.999933368646931","0.9999999997365971","43","-2.2467035731766383"
"Leu_Ile_Val_uptake","0.9999929532565316","0.9999999997365971","28","-2.6009093960879013"
"Cell_wall_metabolism","0.9999989522747066","0.9999999997365971","81","-2.7773341390285373"
"Amino_acid_membrane_transport","0.9999999997365971","0.9999999997365971","77","-3.6726763137530867"
