"#FILE"	"SEQUENCE"	"START"	"END"	"STRAND"	"GENE"	"COVERAGE"	"COVERAGE_MAP"	"GAPS"	"%COVERAGE"	"%IDENTITY"	"DATABASE"	"ACCESSION"	"PRODUCT"	"RESISTANCE"
"Bifidobacterium_animalis_lactis_1395B.fna"	"RSCZ01000005"	95898	99446	"-"	"Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin"	"8-3556/3561"	"Err:510"	"2/2"	99.63	87.89	"card"	"NC_008618.1:1670624-1667063"	"Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF."	"rifamycin"
"Bifidobacterium_animalis_lactis_1395B.fna"	"RSCZ01000003"	818372	820291	"-"	"TETW"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"megares"	"MEG_7212"	"Drugs:Tetracyclines:Tetracycline_resistance_ribosomal_protection_proteins:TETW"	
"Bifidobacterium_animalis_lactis_1395B.fna"	"RSCZ01000005"	11837	15157	"-"	"ILES"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"megares"	"MEG_3295"	"Drugs:Mupirocin:Mupirocin-resistant_isoleucyl-tRNA_synthetase:ILES"	
"Bifidobacterium_animalis_lactis_1528B.fna"	"RSCY01000002"	730446	732365	"-"	"tet(W)"	"1-1920/1920"	"Err:510"	"0/0"	100	99.95	"ncbi"	"NG_048300.1"	"tetracycline resistance ribosomal protection protein Tet(W)"	"TETRACYCLINE"
"Bifidobacterium_animalis_lactis_1528B.fna"	"RSCY01000002"	730453	732365	"-"	"tet(W)_4"	"1-1913/1920"	"Err:510"	"2/2"	99.58	98.9	"resfinder"	"FN396364"	"tet(W)"	"Doxycycline;Minocycline;Tetracycline"
"Bifidobacterium_animalis_lactis_1528B.fna"	"RSCY01000002"	730462	732365	"-"	"(Tet)tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.21	"argannot"	"AJ222769:3687-5606"	"(Tet)tetW"	
"Bifidobacterium_animalis_lactis_1528B.fna"	"RSCY01000002"	730462	732365	"-"	"tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.21	"card"	"AJ222769.3:3686-5606"	"TetW is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile."	"tetracycline"
"Bifidobacterium_animalis_lactis_1528B.fna"	"RSCY01000003"	11838	15158	"-"	"Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin"	"1-3324/3324"	"Err:510"	"21/37"	99.4	80.25	"card"	"CP001840.1:1613960-1610636"	"Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin."	"mupirocin"
"Bifidobacterium_animalis_lactis_1528B.fna"	"RSCY01000003"	84964	88512	"-"	"Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin"	"8-3556/3561"	"Err:510"	"2/2"	99.63	87.78	"card"	"NC_008618.1:1670624-1667063"	"Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF."	"rifamycin"
"Bifidobacterium_animalis_lactis_1528B.fna"	"RSCY01000002"	730446	732365	"-"	"TETW"	"1-1920/1920"	"Err:510"	"0/0"	100	99.95	"megares"	"MEG_7212"	"Drugs:Tetracyclines:Tetracycline_resistance_ribosomal_protection_proteins:TETW"	
"Bifidobacterium_animalis_lactis_1528B.fna"	"RSCY01000003"	11838	15158	"-"	"ILES"	"1-3324/3324"	"Err:510"	"21/37"	99.4	80.25	"megares"	"MEG_3295"	"Drugs:Mupirocin:Mupirocin-resistant_isoleucyl-tRNA_synthetase:ILES"	
"Bifidobacterium_animalis_lactis_1802B.fna"	"RSCX01000005"	327940	329859	"-"	"tet(W)"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"ncbi"	"NG_048300.1"	"tetracycline resistance ribosomal protection protein Tet(W)"	"TETRACYCLINE"
"Bifidobacterium_animalis_lactis_1802B.fna"	"RSCX01000005"	327947	329859	"-"	"tet(W)_4"	"1-1913/1920"	"Err:510"	"2/2"	99.58	98.85	"resfinder"	"FN396364"	"tet(W)"	"Doxycycline;Minocycline;Tetracycline"
"Bifidobacterium_animalis_lactis_1802B.fna"	"RSCX01000005"	327956	329859	"-"	"(Tet)tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"argannot"	"AJ222769:3687-5606"	"(Tet)tetW"	
"Bifidobacterium_animalis_lactis_1802B.fna"	"RSCX01000005"	327956	329859	"-"	"tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"card"	"AJ222769.3:3686-5606"	"TetW is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile."	"tetracycline"
"Bifidobacterium_animalis_lactis_1802B.fna"	"RSCX01000007"	11630	14950	"-"	"Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"card"	"CP001840.1:1613960-1610636"	"Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin."	"mupirocin"
"Bifidobacterium_animalis_lactis_1802B.fna"	"RSCX01000007"	95691	99239	"-"	"Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin"	"8-3556/3561"	"Err:510"	"2/2"	99.63	87.89	"card"	"NC_008618.1:1670624-1667063"	"Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF."	"rifamycin"
"Bifidobacterium_animalis_lactis_1802B.fna"	"RSCX01000005"	327940	329859	"-"	"TETW"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"megares"	"MEG_7212"	"Drugs:Tetracyclines:Tetracycline_resistance_ribosomal_protection_proteins:TETW"	
"Bifidobacterium_animalis_lactis_1802B.fna"	"RSCX01000007"	11630	14950	"-"	"ILES"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"megares"	"MEG_3295"	"Drugs:Mupirocin:Mupirocin-resistant_isoleucyl-tRNA_synthetase:ILES"	
"Bifidobacterium_animalis_lactis_1808B.fna"	"RSCW01000006"	327918	329837	"-"	"tet(W)"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"ncbi"	"NG_048300.1"	"tetracycline resistance ribosomal protection protein Tet(W)"	"TETRACYCLINE"
"Bifidobacterium_animalis_lactis_1808B.fna"	"RSCW01000006"	327925	329837	"-"	"tet(W)_4"	"1-1913/1920"	"Err:510"	"2/2"	99.58	98.85	"resfinder"	"FN396364"	"tet(W)"	"Doxycycline;Minocycline;Tetracycline"
"Bifidobacterium_animalis_lactis_1808B.fna"	"RSCW01000006"	327934	329837	"-"	"(Tet)tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"argannot"	"AJ222769:3687-5606"	"(Tet)tetW"	
"Bifidobacterium_animalis_lactis_1808B.fna"	"RSCW01000006"	327934	329837	"-"	"tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"card"	"AJ222769.3:3686-5606"	"TetW is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile."	"tetracycline"
"Bifidobacterium_animalis_lactis_1808B.fna"	"RSCW01000008"	11579	14899	"-"	"Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"card"	"CP001840.1:1613960-1610636"	"Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin."	"mupirocin"
"Bifidobacterium_animalis_lactis_1808B.fna"	"RSCW01000008"	95640	99188	"-"	"Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin"	"8-3556/3561"	"Err:510"	"2/2"	99.63	87.89	"card"	"NC_008618.1:1670624-1667063"	"Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF."	"rifamycin"
"Bifidobacterium_animalis_lactis_1808B.fna"	"RSCW01000006"	327918	329837	"-"	"TETW"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"megares"	"MEG_7212"	"Drugs:Tetracyclines:Tetracycline_resistance_ribosomal_protection_proteins:TETW"	
"Bifidobacterium_animalis_lactis_1808B.fna"	"RSCW01000008"	11579	14899	"-"	"ILES"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"megares"	"MEG_3295"	"Drugs:Mupirocin:Mupirocin-resistant_isoleucyl-tRNA_synthetase:ILES"	
"Bifidobacterium_animalis_lactis_1811B.fna"	"RSCV01000003"	818351	820270	"-"	"tet(W)"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"ncbi"	"NG_048300.1"	"tetracycline resistance ribosomal protection protein Tet(W)"	"TETRACYCLINE"
"Bifidobacterium_animalis_lactis_1811B.fna"	"RSCV01000003"	818358	820270	"-"	"tet(W)_4"	"1-1913/1920"	"Err:510"	"2/2"	99.58	98.85	"resfinder"	"FN396364"	"tet(W)"	"Doxycycline;Minocycline;Tetracycline"
"Bifidobacterium_animalis_lactis_1811B.fna"	"RSCV01000003"	818367	820270	"-"	"(Tet)tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"argannot"	"AJ222769:3687-5606"	"(Tet)tetW"	
"Bifidobacterium_animalis_lactis_1811B.fna"	"RSCV01000003"	818367	820270	"-"	"tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"card"	"AJ222769.3:3686-5606"	"TetW is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile."	"tetracycline"
"Bifidobacterium_animalis_lactis_1811B.fna"	"RSCV01000005"	11778	15098	"-"	"Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"card"	"CP001840.1:1613960-1610636"	"Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin."	"mupirocin"
"Bifidobacterium_animalis_lactis_1811B.fna"	"RSCV01000005"	95839	99387	"-"	"Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin"	"8-3556/3561"	"Err:510"	"2/2"	99.63	87.89	"card"	"NC_008618.1:1670624-1667063"	"Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF."	"rifamycin"
"Bifidobacterium_animalis_lactis_1811B.fna"	"RSCV01000003"	818351	820270	"-"	"TETW"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"megares"	"MEG_7212"	"Drugs:Tetracyclines:Tetracycline_resistance_ribosomal_protection_proteins:TETW"	
"Bifidobacterium_animalis_lactis_1811B.fna"	"RSCV01000005"	11778	15098	"-"	"ILES"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"megares"	"MEG_3295"	"Drugs:Mupirocin:Mupirocin-resistant_isoleucyl-tRNA_synthetase:ILES"	
"Bifidobacterium_animalis_lactis_1813B.fna"	"RSCU01000003"	818733	820652	"-"	"tet(W)"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"ncbi"	"NG_048300.1"	"tetracycline resistance ribosomal protection protein Tet(W)"	"TETRACYCLINE"
"Bifidobacterium_animalis_lactis_1813B.fna"	"RSCU01000003"	818740	820652	"-"	"tet(W)_4"	"1-1913/1920"	"Err:510"	"2/2"	99.58	98.85	"resfinder"	"FN396364"	"tet(W)"	"Doxycycline;Minocycline;Tetracycline"
"Bifidobacterium_animalis_lactis_1813B.fna"	"RSCU01000003"	818749	820652	"-"	"(Tet)tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"argannot"	"AJ222769:3687-5606"	"(Tet)tetW"	
"Bifidobacterium_animalis_lactis_1813B.fna"	"RSCU01000003"	818749	820652	"-"	"tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"card"	"AJ222769.3:3686-5606"	"TetW is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile."	"tetracycline"
"Bifidobacterium_animalis_lactis_1813B.fna"	"RSCU01000005"	11836	15156	"-"	"Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"card"	"CP001840.1:1613960-1610636"	"Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin."	"mupirocin"
"Bifidobacterium_animalis_lactis_1813B.fna"	"RSCU01000005"	95897	99445	"-"	"Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin"	"8-3556/3561"	"Err:510"	"2/2"	99.63	87.89	"card"	"NC_008618.1:1670624-1667063"	"Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF."	"rifamycin"
"Bifidobacterium_animalis_lactis_1813B.fna"	"RSCU01000003"	818733	820652	"-"	"TETW"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"megares"	"MEG_7212"	"Drugs:Tetracyclines:Tetracycline_resistance_ribosomal_protection_proteins:TETW"	
"Bifidobacterium_animalis_lactis_1813B.fna"	"RSCU01000005"	11836	15156	"-"	"ILES"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"megares"	"MEG_3295"	"Drugs:Mupirocin:Mupirocin-resistant_isoleucyl-tRNA_synthetase:ILES"	
"Bifidobacterium_animalis_lactis_1821B.fna"	"RSCT01000003"	818732	820651	"-"	"tet(W)"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"ncbi"	"NG_048300.1"	"tetracycline resistance ribosomal protection protein Tet(W)"	"TETRACYCLINE"
"Bifidobacterium_animalis_lactis_1821B.fna"	"RSCT01000003"	818739	820651	"-"	"tet(W)_4"	"1-1913/1920"	"Err:510"	"2/2"	99.58	98.85	"resfinder"	"FN396364"	"tet(W)"	"Doxycycline;Minocycline;Tetracycline"
"Bifidobacterium_animalis_lactis_1821B.fna"	"RSCT01000003"	818748	820651	"-"	"(Tet)tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"argannot"	"AJ222769:3687-5606"	"(Tet)tetW"	
"Bifidobacterium_animalis_lactis_1821B.fna"	"RSCT01000003"	818748	820651	"-"	"tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"card"	"AJ222769.3:3686-5606"	"TetW is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile."	"tetracycline"
"Bifidobacterium_animalis_lactis_1821B.fna"	"RSCT01000005"	11836	15156	"-"	"Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"card"	"CP001840.1:1613960-1610636"	"Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin."	"mupirocin"
"Bifidobacterium_animalis_lactis_1821B.fna"	"RSCT01000005"	95897	99445	"-"	"Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin"	"8-3556/3561"	"Err:510"	"2/2"	99.63	87.89	"card"	"NC_008618.1:1670624-1667063"	"Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF."	"rifamycin"
"Bifidobacterium_animalis_lactis_1821B.fna"	"RSCT01000003"	818732	820651	"-"	"TETW"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"megares"	"MEG_7212"	"Drugs:Tetracyclines:Tetracycline_resistance_ribosomal_protection_proteins:TETW"	
"Bifidobacterium_animalis_lactis_1821B.fna"	"RSCT01000005"	11836	15156	"-"	"ILES"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"megares"	"MEG_3295"	"Drugs:Mupirocin:Mupirocin-resistant_isoleucyl-tRNA_synthetase:ILES"	
"Bifidobacterium_animalis_lactis_1843B.fna"	"RSCS01000003"	818732	820651	"-"	"tet(W)"	"1-1920/1920"	"Err:510"	"0/0"	100	100	"ncbi"	"NG_048300.1"	"tetracycline resistance ribosomal protection protein Tet(W)"	"TETRACYCLINE"
"Bifidobacterium_animalis_lactis_1843B.fna"	"RSCS01000003"	818739	820651	"-"	"tet(W)_4"	"1-1913/1920"	"Err:510"	"2/2"	99.58	98.85	"resfinder"	"FN396364"	"tet(W)"	"Doxycycline;Minocycline;Tetracycline"
"Bifidobacterium_animalis_lactis_1843B.fna"	"RSCS01000003"	818748	820651	"-"	"(Tet)tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"argannot"	"AJ222769:3687-5606"	"(Tet)tetW"	
"Bifidobacterium_animalis_lactis_1843B.fna"	"RSCS01000003"	818748	820651	"-"	"tetW"	"1-1904/1920"	"Err:510"	"0/0"	99.17	98.16	"card"	"AJ222769.3:3686-5606"	"TetW is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile."	"tetracycline"
"Bifidobacterium_animalis_lactis_1843B.fna"	"RSCS01000005"	11836	15156	"-"	"Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin"	"1-3324/3324"	"Err:510"	"20/35"	99.43	80.87	"card"	"CP001840.1:1613960-1610636"	"Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin."	"mupirocin"
